,喜歡,文章ID,板名,留言內容,留言時間,發文者ID
139,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,1.160.120.143 05/31 19:28,tott
140,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,223.141.201.128 05/31 20:19,yonai
141,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,114.136.87.51 05/31 20:25,Esther699
142,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,220.135.242.55 05/31 21:00,sharon1617
143,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,114.136.78.84 05/31 21:11,hibady
144,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,114.27.40.11 05/31 21:33,tinker27
145,推,M.1527753744.A.B1B,BuyTogether,已填g單，謝謝主購,61.64.147.37 05/31 22:33,jhenjhen
146,推,M.1527753744.A.B1B,BuyTogether,已填g單，謝謝主購,42.76.38.140 05/31 22:58,ttto
147,推,M.1527753744.A.B1B,BuyTogether,已填G單 謝謝主購,123.110.237.75 05/31 23:02,louiseyeh77
148,推,M.1527753744.A.B1B,BuyTogether,已填g單 謝謝主購,110.28.224.195 05/31 23:19,lisacat31
149,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,223.140.36.212 05/31 23:19,helens
150,推,M.1527753744.A.B1B,BuyTogether,已填單謝謝,223.140.63.145 05/31 23:20,tt0zz
151,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,36.233.126.99 05/31 23:36,fuhshan
152,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購！,114.42.125.174 06/01 00:18,bfunstyle
153,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,114.38.167.208 06/01 01:08,meching
154,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,42.70.146.106 06/01 01:19,bacteriuman
155,→,M.1527753744.A.B1B,BuyTogether,6/2下標/匯率4.733/共39單*5=195雜費,1.163.24.149 06/02 19:11,criteria
156,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,218.173.26.171 06/27 12:03,sallly520
157,推,M.1530070939.A.791,BuyTogether,已填G單 謝謝主購,140.96.44.206 06/27 12:03,mayling405
158,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,180.217.108.215 06/27 12:08,feiE
159,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,140.128.67.241 06/27 12:13,sohappy
160,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,1.175.167.112 06/27 12:13,myonlyspace
161,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,180.177.8.222 06/27 12:13,kimbosu
162,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,220.130.243.70 06/27 12:18,david0128
163,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購～～～,117.19.163.252 06/27 12:19,LinGui
164,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,101.9.132.14 06/27 12:21,acnb
165,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購~,111.71.5.221 06/27 12:29,Chyih
166,推,M.1530070939.A.791,BuyTogether,已填g單 謝謝主購,223.136.165.185 06/27 12:40,lilianna
167,推,M.1530070939.A.791,BuyTogether,已填g單，謝謝主購,49.217.169.35 06/27 12:43,ja7766
168,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,210.64.53.32 06/27 12:47,erinq
169,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,223.138.220.177 06/27 12:48,domonmonini
170,推,M.1530070939.A.791,BuyTogether,已填g單謝謝主購,101.138.114.150 06/27 12:49,pi228
171,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,114.34.115.151 06/27 12:50,nk61022yuna
172,推,M.1530070939.A.791,BuyTogether,已填G單 謝謝主購,120.116.83.32 06/27 12:52,mingyi
173,推,M.1530070939.A.791,BuyTogether,已填G單 謝謝主購,1.162.98.228 06/27 12:52,miko711017
174,推,M.1530070939.A.791,BuyTogether,已填G單 謝謝主購,223.138.182.173 06/27 12:56,nina5758
175,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,36.236.119.111 06/27 12:57,csy1980
176,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,175.181.145.160 06/27 12:57,wangching
177,推,M.1530070939.A.791,BuyTogether,已填g單，謝謝主購,210.240.38.32 06/27 12:57,scapegoat
178,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購！,223.136.43.224 06/27 12:58,annesorely
179,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,210.64.69.128 06/27 13:09,LisaLien
180,推,M.1530070939.A.791,BuyTogether,已填g單，謝謝主購,111.251.235.127 06/27 13:21,cxnian
181,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,114.136.77.248 06/27 13:21,woota
182,推,M.1530070939.A.791,BuyTogether,已填g單，謝謝主購,114.40.178.2 06/27 13:29,osolomii
183,推,M.1530070939.A.791,BuyTogether,已填g單 謝謝主購,115.82.209.237 06/27 13:32,ab00370
184,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,42.77.96.207 06/27 13:36,myanko
185,推,M.1530070939.A.791,BuyTogether,已填單，感謝主購,1.169.164.174 06/27 13:40,wing77432
186,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,36.224.138.117 06/27 13:44,imiza
187,推,M.1530070939.A.791,BuyTogether,已填G單，謝謝主購,223.139.96.67 06/27 13:46,yonai
188,推,M.1530070939.A.791,BuyTogether,# 斟酌收單,111.252.0.164 06/27 13:55,rainbowbaby
189,→,M.1530070939.A.791,BuyTogether,06/28 轉帳代買fireray 匯率4.66,163.25.95.147 06/28 15:38,lynn90313
190,→,M.1530070939.A.791,BuyTogether,共31單 分寄直寄各15單*10雜/5雜+主購,163.25.95.147 06/28 15:40,lynn90313
191,→,M.1530070939.A.791,BuyTogether,1單*0雜   總雜費225元,163.25.95.147 06/28 15:40,lynn90313
192,推,M.1529766399.A.ADA,BuyTogether,+1,114.24.224.89 06/23 23:53,gwgaga
193,推,M.1529766399.A.ADA,BuyTogether,+1,111.254.36.202 06/24 07:42,lilianpeng
194,推,M.1529766399.A.ADA,BuyTogether,+1,218.210.117.222 06/24 09:22,chuana
195,推,M.1529766399.A.ADA,BuyTogether,+3,1.200.45.197 06/24 10:12,lsion
196,推,M.1529766399.A.ADA,BuyTogether,+1,42.77.226.204 06/24 10:41,stitch900314
197,→,M.1529766399.A.ADA,BuyTogether,+1,39.12.228.218 06/24 11:41,searea123
198,推,M.1529766399.A.ADA,BuyTogether,+1,223.136.183.86 06/24 12:05,joeandy
199,推,M.1529766399.A.ADA,BuyTogether,+1,36.227.171.28 06/24 12:45,fangrabbit
200,→,M.1529766399.A.ADA,BuyTogether,+1,114.137.10.250 06/24 13:59,rita414
201,推,M.1529766399.A.ADA,BuyTogether,+2,110.26.11.10 06/24 14:28,zxyabc
202,推,M.1529766399.A.ADA,BuyTogether,+1,223.136.182.165 06/24 15:35,Lalena
203,推,M.1529766399.A.ADA,BuyTogether,+1,101.13.34.47 06/24 22:54,Esteetg
204,推,M.1529766399.A.ADA,BuyTogether,C+1,42.77.153.123 06/25 20:43,a88541108
205,推,M.1529766399.A.ADA,BuyTogether,+2,101.13.49.195 06/26 01:08,elaine95
206,推,M.1529766399.A.ADA,BuyTogether,+1,223.141.213.102 06/26 22:01,hanhan3431
207,推,M.1529766399.A.ADA,BuyTogether,好穿回購+2,39.9.234.171 06/28 01:40,kitty553124
208,推,M.1529766399.A.ADA,BuyTogether,+2,39.10.161.227 06/28 21:30,gigi0921
209,推,M.1529766399.A.ADA,BuyTogether,+2,223.140.20.217 06/29 08:15,naimiL
210,推,M.1529766399.A.ADA,BuyTogether,+3,210.64.69.128 06/29 12:45,LisaLien
211,推,M.1529766399.A.ADA,BuyTogether,+2,123.194.243.110 06/29 22:10,dddyen307
212,→,M.1529210559.A.52F,C_Chat,太危險了　要是上面有鈕扣彈出去是會出人命的,06/17 12:43,babuturtle
213,→,M.1529210559.A.52F,C_Chat,彈出來了,06/17 12:45,bomda
214,推,M.1529210559.A.52F,C_Chat,BANG,06/17 12:45,pinacolada
215,推,M.1529210559.A.52F,C_Chat,想到窮神那個扣子打中人體要害XD,06/17 12:45,nvsvc32
216,推,M.1529210559.A.52F,C_Chat,爆www裂www王www子,06/17 12:46,laigeorge89
217,推,M.1529210559.A.52F,C_Chat,各種意義上超厲害,06/17 12:47,seaEPC
218,推,M.1529210559.A.52F,C_Chat,幹也太帥，穿男裝炸裂，一整個衝擊力破表,06/17 12:48,Hirajima
219,推,M.1529210559.A.52F,C_Chat,我願意跟這男人打炮,06/17 12:48,whe84311
220,推,M.1529210559.A.52F,C_Chat,前有絕景,06/17 12:49,Bidens
221,推,M.1529210559.A.52F,C_Chat,多麼具有衝擊力的畫面,06/17 12:49,mymind
222,→,M.1529210559.A.52F,C_Chat,衝擊性的畫面wwwww,06/17 12:50,choush
223,推,M.1529210559.A.52F,C_Chat,鈕扣君真是辛苦了,06/17 12:52,f222051618
224,→,M.1529210559.A.52F,C_Chat,其實我對於小智那個分量能夠塞得起來這點感到驚訝,06/17 12:54,K2135356
225,推,M.1529210559.A.52F,C_Chat,炸,06/17 12:55,WongTakashi
226,推,M.1529210559.A.52F,C_Chat,拜託誰來比對一下王子小智跟和服小智 這女人的裝扮,06/17 12:57,CactusFlower
227,→,M.1529210559.A.52F,C_Chat,光譜到底有沒有極限wwwwwww,06/17 12:57,CactusFlower
228,推,M.1529210559.A.52F,C_Chat,頭髮往後梳 大狗將由我統治,06/17 13:02,wai0806
229,推,M.1529210559.A.52F,C_Chat,其實我覺得這橋段設計的太刻意了,06/17 13:03,cht011056
230,推,M.1529210559.A.52F,C_Chat,爆裂,06/17 13:04,badend8769
231,→,M.1529210559.A.52F,C_Chat,是真的就能塞啊，脂肪是軟的一壓就平,06/17 13:05,shamanlin
232,推,M.1529210559.A.52F,C_Chat,爆炸啦,06/17 13:07,chewie
233,→,M.1529210559.A.52F,C_Chat,https://youtu.be/ll1PKpcn4z0?t=265,06/17 13:07,shamanlin
234,→,M.1529210559.A.52F,C_Chat,BANG,06/17 13:07,stfang925
235,→,M.1529210559.A.52F,C_Chat,感謝樓上精闢的說明,06/17 13:09,K2135356
236,推,M.1529210559.A.52F,C_Chat,好久沒看到Jenna Maebles的影片了...,06/17 13:12,CactusFlower
237,推,M.1529210559.A.52F,C_Chat,能塞是真的，會爆開也是真的，不過小智平常穿運動內衣就,06/17 13:12,Hirajima
238,→,M.1529210559.A.52F,C_Chat,很大了，實際上可能更大，運動內衣至少可以壓平3個杯呢,06/17 13:12,Hirajima
239,→,M.1529210559.A.52F,C_Chat,潰す這個字在這邊光看字面感覺就好痛苦XD,06/17 13:17,YuriLowell
240,推,M.1529210559.A.52F,C_Chat,樓上專業,06/17 13:18,gfhnrtjpoiuy
241,→,M.1529210559.A.52F,C_Chat,有穿運動內衣就不會爆開，爆開要沒穿運動內衣(不是那種,06/17 13:20,shamanlin
242,→,M.1529210559.A.52F,C_Chat,裝飾用而是真正壓平防甩)，靠襯衫去壓，然後再故意肩膀,06/17 13:21,shamanlin
243,→,M.1529210559.A.52F,C_Chat,往後同時挺胸,06/17 13:21,shamanlin
244,→,M.1529210559.A.52F,C_Chat,https://youtu.be/EwGaTQsuayo?t=5   譬如這樣,06/17 13:22,shamanlin
245,推,M.1529210559.A.52F,C_Chat,https://i.imgur.com/5eoyebs.png  (K島翻譯,06/17 13:27,RxCat
246,→,M.1529210559.A.52F,C_Chat,同時吸引男性與女性 小智的種族是天使嗎,06/17 13:58,YamagiN
247,推,M.1529210559.A.52F,C_Chat,男女通吃 怕,06/17 14:06,WoodPunch
