CustomerID,SaleDate,SaleNum,Code, Item Description,Quantity,UnitPrice,Country
12388,7/14/2011 13:28,560033,22576,SWALLOW WOODEN CHRISTMAS DECORATION,12,0.85,Australia
12391,11/18/2011 12:07,577228,22209,WOOD STAMP SET HAPPY BIRTHDAY,1,0.83,Cyprus
12391,11/18/2011 12:07,577228,22273,FELTCRAFT DOLL MOLLY,1,2.95,Cyprus
12391,11/18/2011 12:07,577228,23126,FELTCRAFT GIRL AMELIE KIT,1,4.95,Cyprus
12391,11/18/2011 12:07,577228,22818,CARD CHRISTMAS VILLAGE,24,0.42,Cyprus
12393,9/28/2011 15:41,568708,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,1.25,Australia
12395,10/4/2011 13:45,569496,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2.95,Belgium
12395,11/8/2011 16:15,575154,POST,POSTAGE,2,18,Belgium
12395,11/8/2011 16:12,575151,23559,WOODLAND BUNNIES LOLLY MAKERS,6,2.08,Belgium
12395,2/11/2011 12:16,543733,21218,RED SPOTTY BISCUIT TIN,6,3.75,Belgium
12397,7/27/2011 14:21,561507,22727,ALARM CLOCK BAKELIKE RED ,4,3.75,Belgium
12398,10/25/2011 10:27,572567,23296,SET OF 6 TEA TIME BAKING CASES,8,1.25,Switzerland
12398,10/25/2011 10:27,572567,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,1.25,Switzerland
12399,3/23/2011 9:42,547412,21212,PACK OF 72 RETROSPOT CAKE CASES,24,0.55,Belgium
12399,5/10/2011 10:22,552543,22951,60 CAKE CASES DOLLY GIRL DESIGN,48,0.55,Belgium
12407,4/18/2011 12:25,550440,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,0.85,Belgium
12407,3/20/2011 13:21,547061,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,1.95,Belgium
12407,10/21/2011 10:11,572133,21217,RED RETROSPOT ROUND CAKE TINS,3,9.95,Belgium
12407,4/18/2011 12:25,550440,23159,SET OF 5 PANCAKE DAY MAGNETS,12,2.08,Belgium
12409,9/22/2011 10:38,567721,22784,LANTERN CREAM GAZEBO ,12,4.25,Switzerland
12409,9/22/2011 10:38,567721,21680,WOODLAND  STICKERS,144,0.85,Switzerland
12409,6/10/2011 12:19,556415,22697,GREEN REGENCY TEACUP AND SAUCER,24,2.55,Switzerland
12415,6/15/2011 13:37,556917,22613,PACK OF 20 SPACEBOY NAPKINS,96,0.72,Australia
12415,6/15/2011 13:37,556917,23292,SPACE BOY CHILDRENS CUP,96,1.05,Australia
12415,3/3/2011 10:59,545475,22539,MINI JIGSAW DOLLY GIRL,240,0.36,Australia
12415,10/5/2011 12:44,569650,23526,DOG LICENCE WALL ART,180,5.35,Australia
12415,1/6/2011 11:12,540267,22857,ASSORTED EASTER GIFT TAGS,144,0.72,Australia
12415,7/19/2011 10:51,560491,23108,SET OF 10 LED DOLLY LIGHTS,1,6.25,Australia
12415,7/19/2011 10:51,560491,20725,LUNCH BAG RED RETROSPOT,1,1.65,Australia
12415,2/15/2011 9:52,543989,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,72,3.75,Australia
12415,3/3/2011 10:59,545475,22423,REGENCY CAKESTAND 3 TIER,32,10.95,Australia
12415,2/15/2011 9:52,543989,22962,JAM JAR WITH PINK LID,384,0.72,Australia
12415,3/3/2011 10:59,545475,22555,PLASTERS IN TIN STRONGMAN,288,1.45,Australia
12415,2/15/2011 9:52,543989,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",72,4.25,Australia
12415,6/15/2011 13:37,556917,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,72,0.36,Australia
12415,1/6/2011 11:12,540267,22080,RIBBON REEL POLKADOTS ,120,1.45,Australia
12415,6/15/2011 13:37,556917,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,48,3.39,Australia
12415,6/15/2011 13:37,556917,23009,I LOVE LONDON BABY GIFT SET,12,14.95,Australia
12415,10/5/2011 12:44,569650,23013,GLASS APOTHECARY BOTTLE TONIC,12,3.45,Australia
12415,7/19/2011 12:26,C560540,23108,SET OF 10 LED DOLLY LIGHTS,-1,6.25,Australia
12417,8/4/2011 18:51,562445,23315,IVORY REFECTORY CLOCK,2,9.95,Belgium
12417,3/3/2011 14:12,545536,22770,MIRROR CORNICE,4,14.95,Belgium
12417,3/3/2011 14:12,545536,22168,ORGANISER WOOD ANTIQUE WHITE ,2,8.5,Belgium
12417,8/25/2011 10:26,564378,90024B,NEW BAROQUE B'FLY NECKLACE RED,2,8.5,Belgium
12418,8/19/2011 11:08,563756,22544,MINI JIGSAW SPACEBOY,24,0.42,Switzerland
12420,10/7/2011 8:55,570000,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,Cyprus
12421,1/24/2011 15:09,541980,22066,LOVE HEART TRINKET POT,12,1.45,Spain
12421,1/24/2011 15:09,541980,21314,SMALL GLASS HEART TRINKET POT,8,2.1,Spain
12422,6/24/2011 13:20,558041,22147,FELTCRAFT BUTTERFLY HEARTS,12,1.45,Switzerland
12422,9/5/2011 9:48,565466,23200,JUMBO BAG PEARS,10,2.08,Australia
12422,1/19/2011 9:13,541520,22384,LUNCH BAG PINK POLKADOT,20,1.65,Australia
12423,4/7/2011 12:04,549249,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,24,0.42,Belgium
12423,4/7/2011 12:04,549249,22994,TRAVEL CARD WALLET RETROSPOT,24,0.42,Belgium
12427,12/3/2010 10:44,536861,22301,COFFEE MUG CAT + BIRD DESIGN,6,2.55,Germany
12428,11/14/2011 8:22,576082,22386,JUMBO BAG PINK POLKADOT,10,2.08,Finland
12428,3/1/2011 9:33,545226,22386,JUMBO BAG PINK POLKADOT,10,1.95,Finland
12428,4/11/2011 10:04,549588,37501,TEA TIME TEA SET IN GIFT BOX,6,6.95,Finland
12428,3/1/2011 9:33,545226,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,Finland
12428,3/1/2011 9:35,545227,22445,PENCIL CASE LIFE IS BEAUTIFUL,6,2.95,Finland
12428,3/1/2011 9:33,545226,84584,PINK GINGHAM CAT WITH SCARF,6,2.55,Finland
12429,12/9/2010 12:05,538003,22960,JAM MAKING SET WITH JARS,6,4.25,Denmark
12429,4/26/2011 11:44,551054,22960,JAM MAKING SET WITH JARS,6,4.25,Austria
12432,10/28/2011 11:40,573195,22980,PANTRY SCRUBBING BRUSH,12,1.65,Norway
12432,6/20/2011 13:27,557472,22390,PAPERWEIGHT CHILDHOOD MEMORIES,24,2.55,Norway
12433,10/27/2011 13:43,573035,21169,YOU'RE CONFUSING ME METAL SIGN ,12,1.69,Norway
12433,12/1/2010 13:24,536532,22963,JAM JAR WITH GREEN LID,12,0.85,Norway
12433,11/30/2011 14:05,579692,72232,FENG SHUI PILLAR CANDLE,144,0.19,Norway
12433,12/9/2011 8:48,581476,22730,ALARM CLOCK BAKELIKE IVORY,4,3.75,Norway
12433,10/27/2011 13:43,573035,23236,STORAGE TIN VINTAGE DOILY ,6,2.89,Norway
12434,9/16/2011 12:38,567085,20749,ASSORTED COLOUR MINI CASES,2,7.95,Australia
12436,9/1/2011 12:09,565124,22417,PACK OF 60 SPACEBOY CAKE CASES,24,0.55,Norway
12437,10/27/2011 13:44,573036,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2.95,France
12437,11/3/2011 9:43,574093,21975,PACK OF 60 DINOSAUR CAKE CASES,24,0.55,France
12437,5/18/2011 10:34,553577,21212,PACK OF 72 RETROSPOT CAKE CASES,24,0.55,France
12438,11/25/2011 13:28,578811,22423,REGENCY CAKESTAND 3 TIER,4,12.75,Norway
12444,6/21/2011 14:00,557621,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,8.5,Norway
12444,6/21/2011 14:00,557621,21770,OPEN CLOSED METAL SIGN,2,4.95,Norway
12446,10/13/2011 12:50,571035,47566,PARTY BUNTING,4,4.95,RSA
12449,11/17/2011 13:46,577046,23242,TREASURE TIN BUFFALO BILL ,6,2.08,Belgium
12450,6/19/2011 14:36,557303,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,Spain
12451,1/19/2011 9:05,541518,22907,PACK OF 20 NAPKINS PANTRY DESIGN,24,0.85,Switzerland
12453,7/28/2011 14:08,561627,22630,DOLLY GIRL LUNCH BOX,12,1.95,Austria
12455,9/27/2011 15:31,568554,21121,SET/10 RED POLKADOT PARTY CANDLES,24,1.25,Spain
12456,3/30/2011 9:12,548212,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2.95,Switzerland
12458,2/28/2011 10:55,545084,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2.1,Switzerland
12463,4/12/2011 12:47,549825,23076,ICE CREAM SUNDAE LIP GLOSS,24,1.25,Belgium
12463,5/17/2011 10:02,553415,79191C,RETRO PLASTIC ELEPHANT TRAY,12,0.85,Belgium
12471,4/4/2011 12:10,548745,22077,6 RIBBONS RUSTIC CHARM,12,1.65,Germany
12471,12/7/2011 15:43,581179,23174,REGENCY SUGAR BOWL GREEN,4,4.15,Germany
12471,10/5/2011 12:25,569640,23295,SET OF 12 MINI LOAF BAKING CASES,72,0.83,Germany
12471,12/10/2010 9:35,538174,22472,TV DINNER TRAY DOLLY GIRL,12,4.95,Germany
12471,11/24/2011 8:50,578333,23480,MINI LIGHTS WOODLAND MUSHROOMS,4,3.75,Germany
12471,12/2/2010 10:37,C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,8.5,Germany
12471,9/2/2011 11:31,C565284,23241,TREASURE TIN GYMKHANA DESIGN,-1,2.08,Germany
12471,2/3/2011 10:47,543056,22752,SET 7 BABUSHKA NESTING BOXES,6,8.5,Germany
12472,7/24/2011 11:55,561037,22716,CARD CIRCUS PARADE,12,0.42,Germany
12472,7/24/2011 11:55,561037,21731,RED TOADSTOOL LED NIGHT LIGHT,12,1.65,Germany
12472,10/19/2011 11:49,571824,22045,SPACEBOY GIFT WRAP,25,0.42,Germany
12472,3/30/2011 15:12,C548356,22467,GUMBALL COAT RACK,-9,2.55,Germany
12472,7/24/2011 11:55,561037,20724,RED RETROSPOT CHARLOTTE BAG,10,0.85,Germany
12473,10/17/2011 11:27,571328,21576,LETS GO SHOPPING COTTON TOTE BAG,6,2.25,Germany
12473,6/7/2011 15:37,C555881,22704,WRAP RED APPLES ,-25,0.42,Germany
12473,10/17/2011 11:27,571328,72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,12,0.95,Germany
12473,10/17/2011 11:27,571328,22080,RIBBON REEL POLKADOTS ,10,1.65,Germany
12474,2/25/2011 11:53,544996,22716,CARD CIRCUS PARADE,12,0.42,Germany
12474,11/15/2011 15:42,576607,23349,ROLL WRAP VINTAGE CHRISTMAS,12,1.25,Germany
12474,10/11/2011 12:38,570640,23007, SPACEBOY BABY GIFT SET,1,16.95,Germany
12474,1/26/2011 13:38,542229,21989,PACK OF 20 SKULL PAPER NAPKINS,12,0.85,Germany
12474,10/17/2011 10:42,571312,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,12,1.65,Germany
12474,10/17/2011 10:42,571312,20767,BLUE PAISLEY JOURNAL ,6,2.55,Germany
12476,4/19/2011 10:48,550527,22555,PLASTERS IN TIN STRONGMAN,12,1.65,Germany
12476,4/19/2011 10:48,550527,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,4,3.75,Germany
12476,11/24/2011 12:40,578472,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2.1,Germany
12476,11/14/2011 15:19,576327,POST,POSTAGE,2,18,Germany
12476,4/19/2011 10:48,550527,22595,GINGHAM HEART DECORATION,12,0.85,Germany
12476,9/16/2011 10:56,566987,23202,JUMBO BAG VINTAGE LEAF,10,2.08,Germany
12477,8/31/2011 9:11,564856,23245,SET OF 3 REGENCY CAKE TINS,4,4.95,Germany
12477,2/11/2011 12:45,543737,21523,DOORMAT FANCY FONT HOME SWEET HOME,8,7.95,Germany
12477,11/17/2011 9:51,576910,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,6,8.95,Germany
12477,8/31/2011 9:11,564856,22199,FRYING PAN RED RETROSPOT,8,4.25,Germany
12477,4/14/2011 13:59,550137,35810B,ENAMEL BLUE RIM COFFEE CONTAINER,24,0.83,Germany
12477,10/14/2011 13:54,571227,22624,IVORY KITCHEN SCALES,4,8.5,Germany
12477,2/11/2011 12:45,543737,21217,RED RETROSPOT ROUND CAKE TINS,10,9.95,Germany
12477,8/31/2011 9:11,564856,22325,MOBILE VINTAGE HEARTS ,3,4.95,Germany
12477,11/17/2011 9:51,576910,21426,WOODLAND STORAGE BOX SMALL,6,2.1,Germany
12479,11/28/2011 13:26,579152,21088,SET/6 FRUIT SALAD PAPER CUPS,24,0.19,Germany
12480,7/19/2011 14:04,560569,22045,SPACEBOY GIFT WRAP,25,0.42,Germany
12480,3/17/2011 13:23,546851,22077,6 RIBBONS RUSTIC CHARM,12,1.65,Germany
12480,11/11/2011 14:52,575896,23245,SET OF 3 REGENCY CAKE TINS,4,4.95,Germany
12480,11/11/2011 14:52,575896,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,4.15,Germany
12480,3/17/2011 13:23,546851,22434,BALLOON PUMP WITH 10 BALLOONS,8,1.95,Germany
12481,10/5/2011 9:46,569563,23198,PANTRY MAGNETIC  SHOPPING LIST,48,1.25,Germany
12481,3/28/2011 13:59,547926,22993,SET OF 4 PANTRY JELLY MOULDS,12,1.25,Germany
12481,3/28/2011 13:57,547925,22907,PACK OF 20 NAPKINS PANTRY DESIGN,24,0.85,Germany
12483,4/27/2011 13:13,551278,23254,CHILDRENS CUTLERY DOLLY GIRL ,8,4.15,Sweden
12484,8/28/2011 13:32,564734,85049G,CHOCOLATE BOX RIBBONS ,5,1.25,Spain
12484,1/7/2011 14:04,540469,POST,POSTAGE,4,28,Spain
12484,8/28/2011 13:32,564734,22090,PAPER BUNTING RETROSPOT,2,2.95,Spain
12484,8/28/2011 13:32,564734,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,3,4.95,Spain
12488,9/25/2011 10:34,568137,22748,POPPY'S PLAYHOUSE KITCHEN,6,2.1,France
12490,9/7/2011 13:22,565854,22629,SPACEBOY LUNCH BOX ,12,1.95,France
12490,6/20/2011 14:58,557489,23238,SET OF 4 KNICK KNACK TINS LONDON ,6,4.15,France
12490,1/14/2011 9:13,541120,22551,PLASTERS IN TIN SPACEBOY,12,1.65,France
12490,7/24/2011 11:25,561029,22303,COFFEE MUG APPLES DESIGN,6,2.55,France
12492,10/7/2011 15:15,570189,POST,POSTAGE,1,18,Germany
12500,10/21/2011 10:13,572134,21620,SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,Germany
12501,1/7/2011 12:28,540458,22961,JAM MAKING SET PRINTED,12,1.45,Germany
12501,1/7/2011 12:28,540458,22055,MINI CAKE STAND  HANGING STRAWBERY,8,1.65,Germany
12502,9/5/2011 11:52,565519,48187,DOORMAT NEW ENGLAND,2,8.25,Spain
12502,2/3/2011 10:41,543055,22427,ENAMEL FLOWER JUG CREAM,3,5.95,Spain
12502,8/4/2011 9:55,562273,22847,BREAD BIN DINER STYLE IVORY,1,16.95,Spain
12502,9/5/2011 11:52,565519,22698,PINK REGENCY TEACUP AND SAUCER,6,2.95,Spain
12508,11/10/2011 16:27,575692,23210,WHITE ROCKING HORSE HAND PAINTED,1,1.25,France
12513,8/19/2011 10:51,563753,20712,JUMBO BAG WOODLAND ANIMALS,10,2.08,France
12516,6/12/2011 11:37,556469,20719,WOODLAND CHARLOTTE BAG,20,0.85,Germany
12517,6/2/2011 15:13,555383,21577,SAVE THE PLANET COTTON TOTE BAG,6,2.25,Germany
12517,6/2/2011 15:13,555383,23309,SET OF 60 I LOVE LONDON CAKE CASES ,4,0.55,Germany
12517,6/2/2011 15:13,555383,21426,WOODLAND STORAGE BOX SMALL,2,2.1,Germany
12518,12/9/2011 10:13,581494,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2.95,Germany
12519,10/7/2011 9:26,570007,22941,CHRISTMAS LIGHTS 10 REINDEER,4,8.5,Germany
12520,3/25/2011 8:50,547715,22389,PAPERWEIGHT SAVE THE PLANET,6,2.55,Germany
12526,10/17/2011 9:37,571304,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,4.15,Germany
12530,8/23/2011 10:38,C564104,23199,JUMBO BAG APPLES,-10,2.08,Germany
12531,11/25/2011 11:12,578705,22966,GINGERBREAD MAN COOKIE CUTTER,3,1.25,Germany
12536,10/11/2011 14:52,570672,22616,PACK OF 12 LONDON TISSUES ,24,0.39,France
12536,10/11/2011 14:52,570672,84819,DANISH ROSE ROUND SEWING BOX,3,4.25,France
12536,12/2/2011 12:43,C580263,70007,HI TEC ALPINE HAND WARMER,-12,1.65,France
12539,1/10/2011 9:11,540550,21710,FOLDING UMBRELLA PINKWHITE POLKADOT,4,4.95,Spain
12539,3/22/2011 16:00,547387,23183,MOTHER'S KITCHEN SPOON REST ,4,3.75,Spain
12539,1/10/2011 9:11,540550,62094B,TURQ ICE CREAM BUM BAG ,6,2.55,Spain
12540,7/7/2011 10:03,559173,22350,ILLUSTRATED CAT BOWL ,6,2.55,Spain
12540,10/7/2011 8:12,569998,22846,BREAD BIN DINER STYLE RED ,2,16.95,Spain
12540,1/11/2011 12:25,540801,21137,BLACK RECORD COVER FRAME,8,3.75,Spain
12540,11/8/2011 15:38,575144,22111,SCOTTIE DOG HOT WATER BOTTLE,3,4.95,Spain
12540,10/18/2011 12:59,571665,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,18,2.89,Spain
12540,10/7/2011 8:12,569998,21524,DOORMAT SPOTTY HOME SWEET HOME,2,8.25,Spain
12540,9/8/2011 13:38,566040,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,24,1.45,Spain
12540,5/31/2011 13:32,555095,22423,REGENCY CAKESTAND 3 TIER,16,10.95,Spain
12540,12/13/2010 9:39,538525,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,Spain
12540,9/19/2011 15:02,567340,21212,PACK OF 72 RETROSPOT CAKE CASES,24,0.55,Spain
12544,11/3/2011 16:15,574301,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,1.25,Spain
12545,9/25/2011 13:39,568179,22344,PARTY PIZZA DISH PINK POLKADOT,12,0.85,Spain
12546,9/23/2011 9:44,567968,POST,POSTAGE,3,28,Spain
12546,9/23/2011 9:44,567968,21249,WOODLAND  HEIGHT CHART STICKERS ,6,2.95,Spain
12546,9/23/2011 9:44,567968,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,1.45,Spain
12546,9/23/2011 9:44,567968,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,12,0.83,Spain
12550,9/21/2011 14:35,567653,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2.95,Spain
12553,11/14/2011 13:40,576245,22745,POPPY'S PLAYHOUSE BEDROOM ,12,2.1,France
12553,10/12/2011 14:18,570841,20712,JUMBO BAG WOODLAND ANIMALS,10,2.08,France
12553,3/25/2011 10:19,547722,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,4.15,France
12553,1/14/2011 10:42,541138,20725,LUNCH BAG RED RETROSPOT,10,1.65,France
12553,7/8/2011 12:00,559422,23202,JUMBO BAG VINTAGE LEAF,10,2.08,France
12553,3/25/2011 10:19,547722,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,0.85,France
12553,11/30/2011 11:39,C579562,21731,RED TOADSTOOL LED NIGHT LIGHT,-1,1.65,France
12556,7/11/2011 13:35,559665,71053,WHITE METAL LANTERN,2,3.75,Spain
12556,7/11/2011 13:35,559665,21530,DAIRY MAID TOASTRACK,1,0.79,Spain
12556,10/20/2011 13:06,572065,51014A,"FEATHER PEN,HOT PINK",12,0.39,Spain
12557,7/4/2011 13:19,558871,21240,BLUE POLKADOT CUP,32,0.85,Spain
12558,12/2/2011 10:41,580158,23344,JUMBO BAG 50'S CHRISTMAS ,10,2.08,USA
12559,1/24/2011 10:12,541877,22973,CHILDREN'S CIRCUS PARADE MUG,12,1.65,Germany
12559,1/24/2011 10:12,541877,22834,HAND WARMER BABUSHKA DESIGN,12,2.1,Germany
12560,7/19/2011 15:55,560590,22727,ALARM CLOCK BAKELIKE RED ,4,3.75,Germany
12560,7/19/2011 15:55,560590,22740,POLKADOT PEN,48,0.85,Germany
12560,7/19/2011 15:55,560590,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,24,0.55,Germany
12561,2/10/2011 11:39,543587,21498,RED RETROSPOT WRAP ,25,0.42,Germany
12567,9/4/2011 14:22,565443,22492,MINI PAINT SET VINTAGE ,36,0.65,France
12567,9/4/2011 14:22,565443,79190A,RETRO PLASTIC 70'S TRAY,15,0.42,France
12567,5/22/2011 13:01,554097,21936,RED RETROSPOT PICNIC BAG,5,2.95,France
12567,12/5/2010 11:57,537065,22846,BREAD BIN DINER STYLE RED ,1,16.95,France
12567,6/13/2011 9:55,556507,23199,JUMBO BAG APPLES,20,2.08,France
12567,9/4/2011 14:22,565443,22423,REGENCY CAKESTAND 3 TIER,4,12.75,France
12569,12/4/2011 15:47,580531,22471,TV DINNER TRAY AIR HOSTESS ,6,4.95,Germany
12569,8/9/2011 10:05,562729,POST,POSTAGE,1,18,Germany
12569,12/1/2011 8:35,579901,22055,MINI CAKE STAND  HANGING STRAWBERY,8,1.65,Germany
12569,10/26/2011 14:39,572895,22776,SWEETHEART 3 TIER CAKE STAND ,3,9.95,Germany
12571,10/31/2011 10:19,573428,21935,SUKI  SHOULDER BAG,10,1.65,France
12576,7/13/2011 10:02,559834,16014,SMALL CHINESE STYLE SCISSOR,20,0.42,Poland
12576,9/5/2011 10:06,565470,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,1.25,Poland
12576,7/13/2011 10:02,559834,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2.95,Poland
12577,12/15/2010 16:21,539050,22759,SET OF 3 NOTEBOOKS IN PARCEL,2,1.65,France
12578,1/13/2011 15:34,541115,22522,CHILDS GARDEN FORK BLUE ,12,0.85,Italy
12578,11/18/2011 13:30,577316,23497,CLASSIC CHROME BICYCLE BELL ,12,1.45,Italy
12579,9/22/2011 17:15,567915,22432,WATERING CAN PINK BUNNY,6,1.95,France
12582,2/24/2011 11:42,544886,21243,PINK  POLKADOT PLATE ,8,1.69,Finland
12583,5/23/2011 9:48,554134,21245,GREEN POLKADOT PLATE ,8,1.69,France
12583,11/21/2011 11:16,577687,21086,SET/6 RED SPOTTY PAPER CUPS,12,0.65,France
12583,12/7/2011 8:07,581001,23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,6,2.89,France
12584,9/20/2011 13:21,567478,22845,VINTAGE CREAM CAT FOOD CONTAINER,2,6.35,Italy
12584,6/7/2011 13:00,555843,22849,BREAD BIN DINER STYLE MINT,1,16.95,Italy
12585,12/23/2010 12:58,539957,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,0.55,Germany
12585,12/23/2010 12:58,539957,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,1.45,Germany
12592,9/8/2011 15:04,566054,20719,WOODLAND CHARLOTTE BAG,20,0.85,Germany
12594,5/31/2011 14:14,555107,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2.95,Italy
12597,10/30/2011 13:06,573362,22603,CHRISTMAS RETROSPOT TREE WOOD,12,0.85,Spain
12598,5/3/2011 8:40,551539,23077,DOUGHNUT LIP GLOSS ,20,1.25,France
12600,4/28/2011 16:20,551467,15056BL,EDWARDIAN PARASOL BLACK,18,5.95,Germany
12600,7/17/2011 10:53,560230,20679,EDWARDIAN PARASOL RED,12,5.95,Germany
12607,10/10/2011 16:06,570467,22708,WRAP DOLLY GIRL,25,0.42,USA
12607,10/12/2011 16:17,C570867,21668,RED STRIPE CERAMIC DRAWER KNOB,-12,1.45,USA
12607,10/12/2011 16:17,C570867,23311,VINTAGE CHRISTMAS STOCKING ,-6,2.55,USA
12610,8/5/2011 13:52,562528,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,0.85,Italy
12610,11/17/2011 9:34,576907,23333,IVORY WICKER HEART MEDIUM,24,1.25,Italy
12611,10/18/2011 13:12,571670,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,5.95,Italy
12612,9/26/2011 15:35,568350,90160C,TURQ+RED BOUDICCA LARGE BRACELET,6,6.95,Germany
12613,10/13/2011 14:59,571065,21670,BLUE SPOT CERAMIC DRAWER KNOB,24,1.45,Germany
12613,5/26/2011 9:18,554700,21930,JUMBO STORAGE BAG SKULLS,10,2.08,Germany
12615,6/24/2011 13:35,558045,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,0.29,France
12619,9/23/2011 9:00,567958,22813,PACK 3 BOXES BIRD PANNETONE ,96,1.65,Germany
12621,7/15/2011 14:34,560211,22077,6 RIBBONS RUSTIC CHARM,12,1.65,Germany
12621,12/8/2011 11:25,581266,23570,TRADITIONAL PICK UP STICKS GAME ,12,1.25,Germany
12621,4/27/2011 12:02,551258,20723,STRAWBERRY CHARLOTTE BAG,20,0.85,Germany
12621,9/19/2011 14:56,567336,21731,RED TOADSTOOL LED NIGHT LIGHT,12,1.65,Germany
