UID,Prod_output_num,click_on_prod,locations,gender,age,balance,registry_to_use_time,credit_card_paid,active_member,estimated_salary,buy
46,9,829,Taichung,Female,27,112045.67,4,1,0,119708.21,1
47,9,637,Taichung,Female,39,137843.8,4,1,0,117622.8,1
48,2,550,Taichung,Male,38,103391.38,4,0,0,90878.13,0
49,2,776,Taichung,Female,37,103769.22,3,1,1,194099.12,0
50,10,698,Taichung,Male,44,116363.37,3,1,1,198059.16,0
51,5,585,Taichung,Male,36,146050.97,3,0,1,86424.57,0
52,5,788,Taipei,Female,33,0,3,0,1,116978.19,0
53,8,655,Taichung,Male,41,125561.97,4,0,1,164040.94,1
54,1,601,Taichung,Male,42,98495.72,4,1,1,40014.76,1
55,1,619,Taipei,Male,43,125211.92,4,1,0,113410.49,0
56,5,656,Taipei,Male,45,127864.4,4,1,1,87107.57,0
57,0,725,Taichung,Male,19,75888.2,4,0,1,45613.75,0
58,4,511,Tainan,Female,66,0,4,1,1,1643.11,1
59,4,614,Taipei,Male,51,40685.92,4,1,0,46775.28,0
60,5,742,Taichung,Male,35,136857,4,0,1,84509.57,0
61,9,687,Taichung,Female,27,152328.88,3,0,1,126494.82,0
62,1,555,Tainan,Male,33,56084.69,3,0,1,178798.13,0
63,8,684,Tainan,Male,56,78707.16,4,1,0,99398.36,0
64,4,603,Taichung,Male,26,109166.37,4,1,0,92840.67,0
65,6,751,Taichung,Female,36,169831.46,3,1,0,27758.36,0
66,1,581,Taichung,Female,34,101633.04,4,1,1,110431.51,0
67,10,735,Taichung,Male,43,123180.01,3,1,0,196673.28,0
68,5,661,Taichung,Female,35,150725.53,3,0,0,113656.85,0
69,8,675,Taipei,Female,21,98373.26,4,1,1,18203,0
70,2,738,Taichung,Male,58,133745.44,1,1,1,28373.86,1
71,6,813,Taipei,Male,29,0,4,1,1,33953.87,0
72,0,657,Tainan,Female,37,163607.18,4,0,0,44203.55,0
73,5,604,Taichung,Female,25,157780.84,3,1,0,58426.81,0
74,9,519,Taipei,Male,36,0,3,0,0,145562.4,0
75,1,735,Taipei,Female,21,178718.19,3,1,1,22388,0
76,8,664,Taipei,Male,55,0,3,1,0,139161.64,0
77,9,678,Taipei,Female,32,0,4,1,0,148210.64,0
78,5,757,Tainan,Male,33,77253.22,4,0,0,194239.63,0
79,10,416,Taichung,Female,41,122189.66,3,1,1,98301.61,0
80,1,665,Taipei,Female,34,96645.54,3,0,1,171413.66,0
81,2,777,Taipei,Female,32,0,4,1,1,136458.19,1
82,3,543,Taipei,Female,36,0,3,0,1,26019.59,0
83,4,506,Taipei,Female,34,90307.62,4,1,0,159235.29,0
84,4,493,Taipei,Female,46,0,3,1,1,1907.66,0
85,10,652,Tainan,Female,75,0,3,1,0,114675.75,0
86,3,750,Tainan,Male,22,121681.82,4,1,1,128643.35,1
87,9,729,Taipei,Male,30,0,3,1,1,151869.35,0
88,4,646,Taipei,Female,46,0,2,1,1,93251.42,1
89,3,635,Taichung,Female,28,81623.67,3,1,0,156791.36,0
90,5,647,Tainan,Female,44,0,2,1,0,174205.22,1
91,7,808,Taipei,Male,45,118626.55,3,1,1,147132.46,0
92,10,524,Taipei,Female,36,0,3,1,1,109614.57,0
93,8,769,Taipei,Male,29,0,3,1,0,172290.61,0
94,4,730,Tainan,Male,42,0,3,0,0,85982.47,0
95,10,515,Tainan,Male,35,176273.95,4,0,0,121277.78,0
96,9,773,Tainan,Male,41,102827.44,4,0,0,64595.25,0
97,8,814,Taichung,Male,29,97086.4,3,1,0,197276.13,0
98,8,710,Tainan,Male,22,0,3,0,1,99645.04,0
99,9,413,Taipei,Male,34,0,3,0,1,6534.18,0
100,6,665,Taipei,Female,40,0,4,1,0,161848.03,0
101,6,623,Taipei,Female,44,0,3,0,1,167162.43,0
102,9,738,Taipei,Male,31,82674.15,4,1,1,41970.72,0
103,7,528,Tainan,Male,36,0,3,1,1,60536.56,0
104,1,670,Tainan,Female,65,0,4,1,0,177655.68,1
105,4,622,Tainan,Female,46,107073.27,3,1,0,30984.59,1
106,1,582,Taichung,Male,32,88938.62,4,1,0,10054.53,0
107,2,785,Taichung,Female,36,99806.85,4,0,0,36976.52,0
108,5,605,Tainan,Male,33,150092.8,4,0,1,71862.79,0
109,9,479,Taichung,Male,35,92833.89,4,1,1,99449.86,1
110,3,685,Taichung,Male,30,90536.81,4,0,0,63082.88,0
111,7,538,Taichung,Male,39,108055.1,3,1,1,27231.26,0
112,2,562,Taipei,Male,42,100238.35,4,0,1,86797.41,0
113,9,675,Tainan,Male,36,106190.55,4,0,0,22994.32,0
114,9,721,Taichung,Male,28,154475.54,3,0,0,101300.94,1
115,9,628,Taichung,Female,30,132351.29,3,1,0,74169.13,0
116,6,668,Taichung,Female,37,167864.4,4,1,1,115638.29,0
117,1,506,Taipei,Female,41,0,3,1,1,31766.3,0
118,8,524,Taichung,Female,31,107818.63,4,1,1,199725.39,1
119,4,699,Taichung,Male,34,185173.81,3,1,1,120834.48,0
120,8,828,Taipei,Male,34,129433.34,3,0,1,38131.77,0
121,6,674,Tainan,Male,39,120193.42,4,0,1,100130.95,0
122,6,656,Taipei,Female,39,0,3,1,1,141069.88,0
123,10,684,Taichung,Female,48,126384.42,4,1,0,198129.36,0
124,3,625,Taipei,Female,28,0,4,0,1,183646.41,0
125,9,432,Taipei,Male,42,152603.45,4,1,1,110265.24,1
126,1,549,Taipei,Female,52,0,4,0,0,8636.05,1
127,0,625,Taichung,Male,56,148507.24,4,1,1,46824.08,1
128,7,828,Taipei,Female,41,0,3,1,1,171378.77,0
129,9,770,Taipei,Male,24,101827.07,4,1,1,167256.35,0
130,3,758,Taipei,Female,34,0,3,1,0,124226.16,0
131,9,795,Taichung,Female,33,130862.43,4,1,0,114935.21,0
132,9,687,Taipei,Male,38,122570.87,4,1,0,35608.88,0
133,1,686,Taipei,Male,25,0,3,0,0,16459.37,0
134,7,789,Taichung,Male,39,124828.46,3,1,0,124411.08,0
135,5,589,Taichung,Female,50,144895.05,3,1,0,34941.23,0
136,5,461,Taichung,Female,34,63663.93,4,0,0,167784.28,0
137,2,637,Taipei,Male,40,133463.1,4,0,0,93165.34,0
138,2,584,Tainan,Female,48,213146.2,4,1,1,75161.25,1
139,1,579,Tainan,Female,35,129490.36,3,0,0,8590.83,1
140,10,756,Taichung,Male,44,137452.09,4,1,1,189543.9,0
141,7,663,Taipei,Male,34,0,3,1,0,180427.24,0
142,5,682,Taipei,Female,43,125851.93,4,1,0,193318.33,0
143,2,793,Tainan,Male,52,0,4,1,1,159123.82,1
144,5,691,Taipei,Female,31,40915.55,4,1,1,126213.84,1
145,5,485,Tainan,Female,21,113157.22,4,1,0,54141.5,0
146,8,635,Tainan,Female,29,138296.94,3,1,1,141075.51,0
147,5,650,Taipei,Male,37,106967.18,4,0,1,24495.03,0
148,9,735,Taipei,Male,44,120681.63,4,1,1,74836.34,0
149,0,416,Taipei,Male,32,0,3,0,0,878.87,0
150,7,754,Tainan,Female,32,0,3,1,1,89520.75,0
151,9,535,Taipei,Female,48,0,4,1,1,149892.79,1
152,8,716,Tainan,Male,42,0,3,1,1,180800.42,0
153,2,539,Taipei,Male,37,127609.59,4,1,1,98646.22,0
154,6,614,Taipei,Female,43,0,3,1,0,109041.53,0
155,7,706,Tainan,Male,57,0,4,1,1,17941.16,1
156,7,758,Taipei,Female,33,0,3,0,1,82996.47,0
157,2,586,Tainan,Female,28,0,3,1,0,92067.35,0
158,6,646,Taipei,Female,73,97259.25,4,0,0,104719.66,0
159,4,631,Taichung,Female,33,123246.7,4,0,1,112687.57,0
160,6,717,Tainan,Female,22,101060.25,4,0,0,84699.56,0
161,2,684,Taipei,Male,30,0,3,1,1,83473.82,0
162,7,800,Taipei,Female,49,108007.36,4,0,1,47125.11,0
163,2,721,Tainan,Female,36,0,3,1,0,106977.8,0
164,0,683,Tainan,Male,29,133702.89,4,1,1,55582.54,1
165,9,660,Taichung,Male,31,125189.75,3,1,0,139874.43,0
166,7,704,Taichung,Female,24,113034.22,4,1,1,162503.48,1
167,9,615,Tainan,Female,41,109013.23,4,1,1,196499.96,0
168,2,667,Tainan,Female,39,0,3,1,1,40721.24,1
169,9,682,Taichung,Male,24,57929.81,3,0,1,53134.3,0
170,4,484,Taipei,Female,29,130114.39,4,1,1,164017.89,0
171,5,628,Taichung,Male,27,95826.49,3,1,1,155996.96,0
172,10,480,Taichung,Male,44,129608.57,4,1,1,5472.7,1
173,4,578,Taipei,Male,30,169462.09,4,1,1,112187.11,0
174,5,512,Taipei,Male,40,0,3,1,0,146457.83,0
175,7,484,Tainan,Female,35,133868.21,4,1,0,27286.1,0
176,0,510,Taipei,Female,30,0,3,1,0,130553.47,0
177,5,606,Taichung,Male,36,190479.48,3,0,1,179351.89,0
178,8,597,Tainan,Female,40,101993.12,4,0,0,94774.12,0
179,3,754,Taichung,Female,55,161608.81,4,1,1,8080.85,1
180,2,850,Tainan,Female,45,122311.21,4,1,0,19482.5,0
181,2,510,Taipei,Male,65,0,3,1,0,48071.61,0
182,1,778,Taichung,Female,45,162150.42,3,1,1,174531.27,0
183,2,636,Taipei,Male,42,0,3,1,0,55470.78,0
184,4,804,Taipei,Female,50,0,4,1,0,8546.87,1
185,8,514,Taipei,Male,32,0,3,1,1,95857.18,0
186,1,730,Taipei,Female,39,99010.67,4,1,1,194945.8,0
187,0,525,Tainan,Female,37,0,4,0,0,131521.72,0
188,5,616,Tainan,Male,30,0,3,0,0,196108.51,0
189,7,687,Taichung,Female,34,111388.18,3,1,1,148564.76,0
190,8,715,Taipei,Female,41,56214.85,3,0,1,92982.61,1
191,3,512,Taipei,Female,36,84327.77,3,1,1,17675.36,0
192,1,479,Taipei,Male,40,0,3,0,1,114996.43,0
193,8,601,Taipei,Male,32,93012.89,4,1,1,86957.42,0
194,9,580,Tainan,Male,29,61710.44,3,1,1,128077.8,0
195,3,807,Taipei,Male,35,174790.15,4,1,0,600.36,0
196,6,616,Tainan,Female,32,0,3,1,0,43001.46,0
197,3,721,Taichung,Male,37,107720.64,4,1,0,158591.12,0
198,10,501,Taipei,Male,57,0,3,1,0,47847.19,0
199,6,521,Taipei,Male,35,96423.84,4,1,1,10488.44,0
200,2,850,Tainan,Male,30,141040.01,4,1,0,5978.2,0
201,4,759,Taipei,Male,42,105420.18,4,0,0,121409.06,0
202,5,516,Tainan,Male,50,0,4,0,0,146145.93,1
203,2,711,Taipei,Female,38,129022.06,3,1,0,14374.86,1
204,3,512,Tainan,Male,33,176666.62,4,1,1,94670.77,0
205,3,550,Taipei,Male,37,0,4,1,0,179670.31,0
206,3,608,Tainan,Female,41,89763.84,4,0,1,199304.74,1
207,5,618,Taipei,Male,34,134954.53,4,1,0,151954.39,0
208,5,643,Taipei,Male,45,0,4,1,1,142513.5,1
209,2,671,Taipei,Male,45,106376.85,4,0,0,158264.62,0
210,2,689,Taichung,Male,33,161814.64,3,1,1,169381.9,0
211,8,603,Taipei,Male,31,0,3,1,0,169915.02,0
212,9,620,Taipei,Female,41,0,3,0,1,88852.47,0
213,1,676,Taipei,Female,34,63095.01,4,1,0,40645.81,0
214,4,572,Taichung,Male,26,118287.01,3,0,1,60427.3,0
215,7,668,Taichung,Male,47,106854.21,4,0,0,157959.02,1
216,7,695,Taipei,Male,46,49512.55,4,1,1,133007.34,0
217,9,730,Tainan,Female,33,0,3,0,1,176576.62,0
218,1,807,Taipei,Male,43,105799.32,3,1,1,34888.04,1
219,8,592,Taipei,Male,54,0,4,1,0,28737.71,1
220,9,726,Taipei,Female,31,114722.05,3,1,0,98178.57,0
221,7,514,Tainan,Male,30,0,4,0,0,125010.24,0
222,2,567,Taipei,Male,42,0,3,1,0,167984.61,0
223,10,850,Taipei,Male,33,0,4,1,1,4861.72,1
224,6,671,Taichung,Male,45,99564.22,4,1,0,108872.45,1
225,4,670,Taipei,Male,37,170557.91,3,1,1,198252.88,0
226,9,694,Taipei,Female,30,0,3,1,0,26960.31,0
227,6,547,Taichung,Female,39,74596.15,2,1,0,85746.52,1
228,2,751,Taichung,Male,50,96888.39,4,1,1,77206.25,1
229,3,594,Taichung,Female,29,130830.22,4,1,1,61048.53,0
230,1,673,Taipei,Male,72,0,3,0,0,111981.19,0
231,0,610,Taipei,Male,40,0,3,1,1,62232.6,0
232,1,512,Taipei,Female,37,0,3,0,0,156105.03,0
233,3,767,Taichung,Male,20,119714.25,3,0,0,150135.38,0
234,5,585,Taipei,Female,67,113978.97,3,0,0,93146.11,0
235,6,763,Taichung,Male,42,100160.75,4,1,1,33462.94,1
236,2,712,Taipei,Female,29,0,4,1,0,144375,0
237,3,539,Taichung,Female,43,116220.5,2,1,1,55803.96,1
238,2,668,Taipei,Female,46,0,2,1,1,89048.46,1
239,2,703,Taipei,Male,28,81173.83,3,0,0,162812.16,0
240,4,662,Tainan,Male,38,0,3,1,1,136259.65,0
241,5,725,Taichung,Female,39,116803.8,4,1,1,124052.97,0
242,8,703,Taipei,Male,37,105961.68,3,0,0,74158.8,0
243,6,659,Taichung,Male,67,117411.6,4,1,0,45071.09,1
244,7,523,Tainan,Male,34,0,3,1,1,62030.06,0
245,10,635,Taipei,Female,40,123497.58,4,1,1,131953.23,1
246,7,772,Taichung,Male,26,152400.51,3,1,1,79414,0
247,1,545,Taipei,Female,26,0,3,1,0,199638.56,0
248,8,634,Taichung,Male,24,103097.85,4,1,0,157577.29,0
249,8,739,Taichung,Male,54,126418.14,4,1,1,134420.75,1
250,5,771,Taichung,Female,36,77846.9,4,0,1,99805.99,0
251,1,587,Tainan,Female,34,0,3,1,0,97932.68,0
252,0,681,Taipei,Female,79,0,3,0,0,170968.99,0
253,2,544,Taichung,Male,37,79731.91,4,1,0,57558.95,0
254,8,696,Tainan,Male,28,0,4,0,1,176713.47,0
255,0,766,Tainan,Male,41,0,3,0,0,34283.23,0
256,10,727,Taipei,Male,34,0,3,1,0,198637.34,0
257,6,671,Taichung,Female,34,37266.67,3,0,1,156917.12,0
258,6,693,Taipei,Female,30,127992.25,4,1,0,50457.2,0
259,3,850,Taichung,Male,38,54901.01,4,1,0,140075.55,0
260,9,732,Taichung,Male,42,108748.08,3,1,0,65323.11,0
261,6,726,Tainan,Female,48,99906.19,4,1,1,64323.24,0
262,6,557,Taipei,Female,32,184686.41,3,1,1,14956.44,0
263,0,682,Taipei,Female,26,110654.02,4,0,0,111879.21,0
264,9,738,Tainan,Male,31,79019.8,4,1,0,18606.23,0
265,9,531,Tainan,Female,36,99240.51,4,1,1,123137.01,0
266,2,498,Taipei,Male,34,0,3,1,0,148528.24,0
267,7,651,Taipei,Male,36,0,3,1,1,13898.31,0
268,7,549,Tainan,Female,39,0,4,0,1,81259.25,1
269,7,791,Taichung,Female,35,52436.2,4,1,1,161051.75,0
270,9,650,Tainan,Male,41,0,3,0,0,191599.67,0
271,3,733,Taichung,Male,34,100337.96,2,1,1,48559.19,1
272,1,811,Taichung,Female,34,149297.19,3,1,0,186339.74,0
273,8,707,Taipei,Male,30,0,3,1,1,33159.37,0
274,4,712,Taichung,Male,28,145605.44,4,0,0,93883.53,0
275,7,706,Tainan,Female,37,0,3,1,0,110899.3,0
276,3,756,Taipei,Male,62,0,4,1,0,11199.04,1
277,10,777,Taipei,Female,53,0,3,1,1,189992.97,0
278,6,646,Taipei,Male,35,84026.86,4,0,0,164255.69,0
279,1,714,Taipei,Male,46,0,4,1,1,152167.79,1
280,8,782,Taipei,Male,39,0,3,1,0,33949.67,0
281,10,775,Tainan,Male,29,0,3,1,0,68143.93,0
282,4,479,Taichung,Male,35,138718.92,4,1,0,47251.79,1
283,7,807,Taipei,Male,42,118274.71,4,1,0,25885.72,0
284,8,799,Taipei,Female,22,174185.98,3,0,0,192633.85,0
285,7,675,Taipei,Male,40,113208.86,3,1,1,34577.36,0
286,5,602,Tainan,Male,29,103907.28,4,1,1,161229.84,0
287,8,475,Taipei,Female,32,119023.28,4,1,1,100816.29,0
288,5,744,Tainan,Female,26,166297.89,4,1,0,181694.44,0
289,10,588,Tainan,Male,34,0,3,1,1,79078.91,0
290,9,703,Taichung,Male,42,63227,4,0,0,137316.32,0
291,5,747,Tainan,Female,41,94521.17,3,1,1,194926.86,0
292,7,583,Taipei,Male,27,0,3,1,1,51285.49,0
293,9,750,Tainan,Female,34,112822.26,4,0,1,150401.53,1
294,3,681,Taipei,Male,38,0,3,1,0,112491.96,0
295,2,773,Taipei,Male,25,135903.33,4,1,1,73656.38,0
296,4,714,Taipei,Female,31,125169.26,4,1,0,106636.89,0
297,7,687,Tainan,Female,44,0,2,1,1,155853.52,1
298,0,511,Taipei,Male,58,149117.31,4,1,0,162599.51,0
299,5,627,Taipei,Male,33,0,3,1,0,103737.82,0
300,10,694,Taipei,Female,31,0,3,1,1,160990.27,0
301,6,616,Tainan,Female,36,132311.71,4,0,1,15462.84,0
302,8,687,Taipei,Male,35,0,3,1,1,10334.05,0
303,6,712,Taipei,Female,33,0,3,1,0,190686.16,0
304,4,553,Taipei,Male,33,118082.89,4,0,1,94440.45,0
305,1,667,Taipei,Male,31,119266.69,4,1,0,28257.63,0
306,2,731,Taipei,Male,43,0,4,1,0,170034.95,1
307,7,629,Taichung,Male,35,156847.29,3,1,1,31824.29,0
308,4,614,Taipei,Male,50,137104.47,4,1,1,127166.49,1
309,8,438,Taichung,Male,31,78398.69,4,1,1,44937.01,0
310,4,652,Taipei,Female,80,0,3,1,0,188603.07,0
311,6,729,Taichung,Male,30,63669.42,4,1,1,145111.37,0
312,3,642,Taipei,Male,38,0,3,0,1,171463.83,0
313,0,806,Taichung,Female,59,135296.33,4,1,1,182822.5,0
314,2,744,Tainan,Male,36,153804.44,4,1,0,87213.33,0
315,3,474,Tainan,Male,37,0,3,0,1,57175.32,0
316,2,559,Taipei,Male,49,147069.78,4,1,1,120540.83,1
317,9,706,Tainan,Male,42,0,3,1,0,28714.34,0
318,3,628,Tainan,Female,22,0,4,1,1,85426.28,0
319,4,429,Taipei,Male,24,95741.75,4,1,1,46170.75,0
320,2,525,Tainan,Female,57,145965.33,4,1,0,64448.36,0
321,8,680,Taipei,Female,30,141441.75,4,1,0,16278.97,0
322,1,749,Taipei,Male,40,139290.41,4,1,1,182855.42,1
323,4,763,Taipei,Female,31,0,3,0,1,50404.72,0
324,3,734,Taipei,Male,30,0,3,1,1,107640.25,0
325,4,716,Taipei,Male,35,144428.87,4,1,1,134132.65,0
326,2,594,Taipei,Male,35,0,3,1,1,103480.69,0
327,9,644,Taipei,Female,46,95441.27,4,1,1,108761.05,1
328,1,671,Taichung,Male,35,144848.74,4,1,0,179012.3,0
329,7,664,Taichung,Male,26,116244.14,3,1,0,95145.14,0
330,7,656,Taipei,Male,50,0,3,0,0,72143.44,0
331,1,667,Tainan,Female,40,146502.07,4,1,1,19162.89,0
332,2,663,Taichung,Male,44,117028.6,3,0,0,144680.18,0
333,8,584,Taichung,Female,30,112013.81,4,1,1,177772.03,1
334,6,626,Tainan,Female,37,108269.37,4,1,1,5597.94,0
335,7,485,Taipei,Male,29,182123.79,4,1,1,116828.51,1
336,3,659,Taichung,Female,32,150923.74,3,0,0,174652.51,0
337,2,649,Taipei,Male,33,0,3,1,1,2010.98,0
338,5,805,Tainan,Female,39,165272.13,4,1,1,14109.85,1
339,10,716,Taichung,Female,39,115301.31,4,1,1,43527.4,1
340,6,642,Taichung,Female,40,129502.49,3,0,0,86099.23,1
341,4,659,Taipei,Male,31,118342.26,4,0,1,161574.19,0
342,5,545,Tainan,Female,47,0,3,1,0,38970.14,0
343,8,543,Taipei,Male,22,0,3,0,1,127587.22,0
344,7,718,Taipei,Female,25,0,3,1,1,30380.12,0
345,7,840,Taipei,Female,43,0,3,1,1,90908.95,0
346,9,630,Taichung,Female,34,106937.05,3,1,1,138275.01,0
347,3,643,Taichung,Male,59,170331.37,4,1,0,32171.79,0
348,1,654,Taichung,Female,32,114510.85,4,1,0,126143.23,0
349,5,582,Taipei,Male,39,0,3,1,0,129892.93,0
350,3,659,Tainan,Male,32,107594.11,3,1,0,102416.84,0
351,2,762,Tainan,Male,39,81273.13,4,1,0,18719.67,0
352,7,568,Tainan,Female,32,169399.6,4,1,1,61936.22,0
353,6,670,Tainan,Male,25,0,3,1,0,78358.94,0
354,1,613,Taipei,Female,45,187841.99,3,1,0,147224.27,0
355,0,539,Taipei,Male,30,0,3,1,1,160979.66,0
356,8,850,Tainan,Female,57,126776.3,3,1,0,132298.49,0
357,9,522,Tainan,Male,34,126436.29,4,1,1,174248.52,1
358,1,737,Taipei,Male,41,101960.74,4,1,0,123547.28,0
359,3,520,Taipei,Male,58,0,3,0,0,32790.02,0
360,3,706,Tainan,Male,28,0,3,0,0,181543.67,0
361,2,643,Taichung,Female,45,150842.93,4,0,0,2319.96,1
362,9,648,Taipei,Female,50,102535.57,4,1,0,189543.19,0
363,9,443,Taichung,Female,29,99027.61,3,1,1,10940.4,0
364,9,640,Taipei,Male,68,0,3,1,0,199493.38,0
365,3,628,Tainan,Female,33,0,4,1,0,188193.25,0
366,9,540,Taichung,Female,42,87271.41,3,1,1,172572.64,0
367,8,460,Taichung,Female,35,102742.91,3,1,0,189339.6,0
368,2,636,Taichung,Male,34,40105.51,3,0,0,53512.16,0
369,2,593,Taipei,Female,29,152265.43,4,1,1,34004.44,0
370,4,801,Tainan,Male,42,141947.67,4,1,0,10598.29,0
371,1,640,Taichung,Female,75,106307.91,3,0,0,113428.77,0
372,0,611,Taichung,Male,31,107884.81,3,1,0,183487.98,0
373,1,802,Taichung,Male,31,125013.72,4,1,0,187658.09,0
374,7,717,Taichung,Male,35,58469.37,3,1,0,172459.39,0
375,8,769,Taipei,Female,39,0,4,0,0,21016,0
376,10,745,Taichung,Male,45,117231.63,2,1,0,122381.02,1
377,4,572,Tainan,Male,35,152390.26,4,1,1,128123.66,0
378,2,629,Tainan,Female,30,34013.63,4,1,1,19570.63,0
379,2,687,Tainan,Female,39,0,2,0,1,188150.6,1
380,9,483,Taipei,Female,50,0,3,1,0,111020.24,0
381,7,690,Taipei,Male,36,101583.11,3,1,1,123775.15,0
382,10,492,Taichung,Female,30,77168.87,3,0,0,146700.22,0
383,8,709,Taichung,Male,28,124695.72,3,1,1,145251.35,0
384,3,705,Taichung,Male,44,105934.96,4,1,1,82463.69,0
385,9,560,Taipei,Female,66,0,4,1,0,15928.49,0
386,6,611,Tainan,Male,46,0,3,1,1,45886.33,0
387,2,730,Tainan,Male,62,0,3,1,0,186489.95,0
388,2,709,Tainan,Female,45,0,3,0,0,162922.65,0
389,10,544,Taipei,Female,21,161525.96,3,1,1,9262.77,0
390,7,712,Taichung,Female,29,147199.07,4,1,0,84932.4,0
391,3,752,Taichung,Male,38,183102.29,4,1,0,71557.12,0
392,9,648,Tainan,Male,46,127209,3,1,1,77405.95,1
393,8,556,Tainan,Male,38,0,3,0,1,417.41,1
394,0,594,Tainan,Female,24,97378.54,4,1,0,71405.17,0
395,2,645,Taichung,Female,37,136925.09,3,0,0,153400.24,0
396,3,557,Taipei,Male,33,54503.55,4,1,0,371.05,0
397,8,547,Taichung,Male,32,155726.85,4,1,1,67789.99,0
398,9,701,Taipei,Female,39,0,3,0,0,145894.9,0
399,1,616,Taipei,Female,66,135842.41,4,1,1,183840.51,1
400,1,605,Taipei,Male,52,63349.75,4,1,1,108887.44,0
401,4,593,Taichung,Female,38,129499.42,4,1,0,154071.27,0
402,8,751,Tainan,Male,52,0,3,0,0,179291.85,0
403,6,443,Tainan,Male,36,70438.01,3,0,0,56937.43,0
404,8,685,Taipei,Male,23,0,3,1,0,112239.03,0
405,9,718,Taipei,Male,36,0,4,1,1,45909.87,0
406,9,538,Tainan,Female,49,141434.04,4,0,1,173779.25,1
407,4,611,Tainan,Female,37,0,3,1,1,125696.26,0
408,10,668,Taichung,Male,37,152958.29,3,1,0,159585.61,0
409,3,537,Taichung,Female,41,138306.34,4,1,1,106761.47,0
410,10,709,Tainan,Male,23,0,3,0,1,129590.18,0
411,1,850,Taipei,Male,38,0,3,1,0,80006.65,0
412,3,745,Tainan,Female,31,124328.84,4,1,0,140451.52,0
413,9,693,Taichung,Female,41,181461.48,2,1,0,187929.43,1
414,8,795,Tainan,Male,35,0,3,1,1,167155.36,0
415,8,626,Tainan,Male,26,0,3,0,1,191420.71,0
416,5,487,Taichung,Female,61,110368.03,4,0,1,11384.45,1
417,9,556,Taipei,Female,39,89588.35,4,1,0,94898.1,0
418,6,643,Taipei,Female,46,0,3,0,1,106781.59,0
419,6,605,Taipei,Female,28,0,3,0,1,159508.52,0
420,3,756,Taichung,Female,60,115924.89,4,1,1,93524.19,1
421,2,586,Taipei,Female,38,0,3,1,1,87168.46,0
