sno,sna,sarea,mday,ar,sareaen,snaen,aren,act,srcUpdateTime,updateTime,infoTime,infoDate,total,available_rent_bikes,latitude,longitude,available_return_bikes
500101016,YouBike2.0_?ｇ謘?湔????45?賹?,?剜???,2024/12/10 12:05,?ｇ謘?湔????45??Daan Dist.,YouBike2.0_No. 245??Sec. 3??Roosevelt Rd.,No. 245??Sec. 3??Roosevelt Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:05,2024/12/10,8,0,25.01927,121.52989,8,
500101018,YouBike2.0_?????,?剜???,2024/12/10 12:15,?ｇ謘?湔????83??1??Daan Dist.,YouBike2.0_Wenzhou Park,No. 11??Ln. 283??Sec. 3??Roosevelt Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:15,2024/12/10,5,0,25.01895,121.53156,5,
500101019,YouBike2.0_??箏??隞??蛔????剜???,2024/12/10 12:23,?隞?????Daan Dist.,YouBike2.0_Heping Wolong St. Intersection,No. 1??Wolong St.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,24,2,25.024461,121.546705,22,,
500101020,YouBike2.0_???謚????剜???,2024/11/1 03:48,????謅????4?????蛔???Daan Dist.,YouBike2.0_Wenzhou Parking Lot,Ln. 54??Sec. 3??Xinsheng S. Rd. & Wenzhou St. Intersection,0,2024/12/10 12:24,2024/12/10 12:24,2024/11/1 03:48,2024/11/1,5,0,25.02093,121.5331,5,,
500101021,YouBike2.0_?謢塗齒????皝?,?剜???,2024/12/10 12:24,?ｇ謘?湔??謜21?賹??剜????Daan Dist.,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),No. 21??Sec. 4??Roosevelt Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,7,5,25.01385,121.53549,2,
500101022,YouBike2.0_????蟡偎??2?賹??,?剜???,2024/12/10 12:24,????蟡偎??2?賹???叟□蹓?Daan Dist.,YouBike2.0_MRT Gongguan Sta. (Exit 2),MRT Gongguan Sta. (Exit 2),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,99,28,25.01491,121.53438,69,
500101023,YouBike2.0_????株?????????,?剜???,2024/12/10 12:21,?ｇ謘?湔??謜107???潸號???,Daan Dist.,YouBike2.0_2nd Student Activity Center,No. 107??Sec. 4??Roosevelt Rd.(Southwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:21,2024/12/10,25,11,25.01244,121.53661,14
500101024,YouBike2.0_?蝞遜???剜憌???,?剜???,2024/12/10 12:24,?蝎?????3???蝞遜???剜憌????蹓??皝??蹎??綜赯?,Daan Dist.,YouBike2.0_NTUST(Main Gate),No. 43??Sec. 4??Keelung Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,50,44,25.01451,121.54142,4
500101025,YouBike2.0_?蝞遜???剜憌?皝?,?剜???,2024/12/10 12:24,?蝎?????3????蝎????Daan Dist.,YouBike2.0_NTUST(Side Gate),Ln. 73??Sec. 4??Keelung Rd. Intersection,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,99,51,25.01295,121.53973,48,
500101026,YouBike2.0_?蟡偎???,?剜???,2024/12/10 12:12,?ｇ謘?湔??謜113??貔????謜41????Daan Dist.,YouBike2.0_Gongguan Park,Ln. 113??Sec. 4??Roosevelt Rd. & Ln. 41??Sec. 4??Keelung Rd. Intersection,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:12,2024/12/10,30,22,25.01137,121.54062,8,
500101027,YouBike2.0_?蝞遜???剜憌??,?剜???,2024/12/10 12:24,?蝎?????1??8???曇????摮萎???,Daan Dist.,YouBike2.0_NTUST(Back Gate),Aly. 68??Ln. 41??Sec. 4??Keelung Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,39,29,25.01182,121.54165,9
500101028,YouBike2.0_?蝞?????嚚??桀????????剜???,2024/12/10 12:16,?蝎?????55??7?賹迤??Daan Dist.,YouBike2.0_NTU Cancer Center,No. 57??Ln. 155??Sec. 3??Keelung Rd.(West),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:16,2024/12/10,20,17,25.01426,121.54382,3,,
500101029,YouBike2.0_?蝞?????剜?,?剜???,2024/12/10 12:23,??橫札???蝎?????55????Daan Dist.,YouBike2.0_NTU Environment Research Building,Fanglan Rd & Ln. 155??Sec. 3??Keelung Rd. Intersection,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,15,1,25.01234,121.54503,13,
500101030,YouBike2.0_?蝞???蝧?賹??漲????剜???,2024/12/10 12:23,??橫札??1?賹迤?謅?,Daan Dist.,YouBike2.0_NTU Yonglin Biomedical Engineering Hall,No. 51??Fanglan Rd.(Northwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,34,25,25.0136,121.54656,9,
500101031,YouBike2.0_?蝞???????,?剜???,2024/12/10 12:24,??????????0???舫頦察?,Daan Dist.,YouBike2.0_NTU 7th Men's Dorm,Ln. 80??Changxing St. Intersection(West),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,20,1,25.01537,121.54698,19
500101032,YouBike2.0_?蝞???????,?剜???,2024/12/10 12:23,?????0?賹迤?謅?,Daan Dist.,YouBike2.0_NTU 1st Men's Dorm,No. 50??Changxing St.(Northwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,61,10,25.01637,121.54535,46
500101033,YouBike2.0_?蝞??????,?剜???,2024/12/10 12:24,?剜????????1??Daan Dist.,YouBike2.0_NTU 6th Men's Dorm,No. 31??Changxing St.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,40,5,25.01664,121.5452,35,
500101034,YouBike2.0_?蝞???∴??????剜???,2024/12/10 12:17,?蝎?????55???蝎????曇???Daan Dist.,YouBike2.0_NTU Veterinary Hospital,Ln. 155??Sec. 3??Keelung Rd. Intersection,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:17,2024/12/10,18,1,25.01576,121.54291,16,,
500101035,YouBike2.0_?蝞??賹祗??憐?剜????剜???,2024/12/10 12:23,憸船?瞍賊?????88??Daan Dist.,YouBike2.0_NTU Civil Engineering Research Building,No. 188??Sec. 3??Xinhai Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,24,18,25.01787,121.5476,6,,
500101036,YouBike2.0_?蝞??蟡???,?剜???,2024/12/10 12:24,?蝞??蟡?????Daan Dist.,YouBike2.0_NTU Wan Tsai Research Hall,NTU Wan Tsai Research Hall,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,20,6,25.02032,121.54497,14,
500101037,YouBike2.0_?蝞?????剜??啗摩????剜???,2024/12/10 12:24,憸船?瞍賊?????0?賹迤?謅?,Daan Dist.,YouBike2.0_NTU Guo - Ching Building,No. 30??Sec. 3??Xinhai Rd.(Northwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,20,3,25.02076,121.54432,17,
500101038,YouBike2.0_?蝞??瑟???嚗??鞈偎???剜???,2024/12/10 12:24,憸船?瞍賊????箸??謅???甇?謅?,Daan Dist.,YouBike2.0_NTU College of social Sciences Building,Xinhai Fuxing Rd. Intersection (Southwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,27,27,25.02101,121.54284,0,
500101039,YouBike2.0_?蝞????豯??殉瘥??????剜???,2024/12/10 12:24,?蝞????豯??殉瘥????謅?,Daan Dist.,YouBike2.0_NTU Language Training & Testing Center,NTU Language Training & Testing Center(North),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,28,18,25.02104,121.54081,10,
500101040,YouBike2.0_?蝞??秋高???蹌交?????赯???剜???,2024/12/10 12:18,?蝞??秋高???蹌交?????Daan Dist.,YouBike2.0_NTU Sports Center Car Park,NTU Sports Center(North),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:18,2024/12/10,25,7,25.0222,121.53626,18,,
500101041,YouBike2.0_憸船?瞍???????????剜???,2024/12/10 12:23,憸船?瞍??????????Daan Dist.,YouBike2.0_Xinhai Xinsheng Rd. Intersection (Southeast),Xinhai Xinsheng Rd. Intersection (Southeast),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,50,0,25.02218,121.53474,50,,
500101042,YouBike2.0_?蝎?????????,?剜???,2024/12/10 12:22,?蝎?????????,Daan Dist.,YouBike2.0_Keelung Changxing Rd. Intersection(East),Keelung Changxing Rd. Intersection(East),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,15,5,25.01727,121.54471,10
500101091,YouBike2.0_????謕??皝??謅?,?剜???,2024/12/10 12:24,?銵???1??Daan Dist.,YouBike2.0_NTUE Side Gate(South),No. 51??Dunnan St.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,34,4,25.022864,121.546622,30,
500101092,YouBike2.0_??箏??????????剜???,2024/12/10 12:17,?銵???3??Daan Dist.,YouBike2.0_Heping Experiment Elementary School (Northeast),No. 73??Dunnan St.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:17,2024/12/10,25,17,25.021641,121.54704,7,,
500101093,YouBike2.0_?剜????鈭???????,?剜???,2024/12/10 12:23,憸船?瞍賊?????5??Daan Dist.,YouBike2.0_Daan District Public Health Center,No. 15??Sec. 1??Xinhai Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,23,0,25.021469,121.544069,23,
500101094,YouBike2.0_憸船?瞍貊????蛔????剜???,2024/12/10 12:22,憸船?瞍貊????蛔???????Daan Dist.,YouBike2.0_Xinhai Taishun St. Intersection,Xinhai Taishun St. Intersection (Southeast),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,20,9,25.02193,121.53165,11,,
500101095,YouBike2.0_??????,?剜???,2024/12/10 12:22,?隞???70????,Daan Dist.,YouBike2.0_Fanghe Junior High School,No. 170??Wolong St.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,37,15,25.0189,121.55013,22
500101097,YouBike2.0_?隞???撟喲謅,?剜???,2024/12/10 12:17,?隞???34-2??Daan Dist.,YouBike2.0_Wolong Leye St. Intersection,No. 234-2??Wolong St.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:17,2024/12/10,41,5,25.01856,121.55558,36,
500101098,YouBike2.0_?隞????,?剜???,2024/12/10 12:15,憸船?瞍賊?????23?賹迤??Daan Dist.,YouBike2.0_Wolong Park,No. 223??Sec. 3??Xinhai Rd. (West),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:15,2024/12/10,25,3,25.01623,121.55037,22,
500101099,YouBike2.0_??????,?剜???,2024/12/10 12:24,??撟喲?01???賹迤?謅?,Daan Dist.,YouBike2.0_Jiaxing Park,No. 3??Ln. 101??Leye St. (Northwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,44,3,25.021,121.55211,41
500101100,YouBike2.0_????魂????2?賹??,?剜???,2024/12/10 12:15,??箏??璇舀????20?賹??謅?,Daan Dist.,YouBike2.0_MRT Linguang Sta. (Exit 2),No. 420??Sec. 3??Heping E. Rd. (Northeast),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:15,2024/12/10,50,36,25.0181,121.55929,14
500101101,YouBike2.0_???????蹓?,?剜???,2024/12/10 12:22,??箏??璇舀????10??Daan Dist.,YouBike2.0_MRT Liuzhangli Sta.,No. 410??Sec. 3??Heping E. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,64,2,25.02397,121.55266,61,
500101102,YouBike2.0_?蟡孕???,?剜???,2024/12/10 12:15,?蝎?????66??Daan Dist.,YouBike2.0_George Vocational High School of Taipei,No. 166??Sec. 2??Keelung Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:15,2024/12/10,24,1,25.02705,121.55551,23,
500101103,YouBike2.0_??蟡???,?剜???,2024/12/10 12:23,?謍???89?賹迤??Daan Dist.,YouBike2.0_Fazhi Park,No. 189??Tonghua St. (West),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,15,2,25.02694,121.55325,12,
500101104,YouBike2.0_????蝎察迤?剜???2?賹??,?剜???,2024/12/10 12:23,憸船?瞍賊??????ｇ謘?湔????????憸船?瞍賊??秋?),Daan Dist.,YouBike2.0_MRT Taipower Building Sta. (Exit 2),Sec. 1??Xinhai Rd & Sec. 3??Roosevelt Rd (North),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,18,4,25.02021,121.52942,14
500101105,YouBike2.0_??箏???急????剜???,2024/12/10 12:23,??箏??璇舀??????急?謅??哨?暸頦???Daan Dist.,YouBike2.0_Sec. 1??Heping E. Rd & Sec. 2??Jinshan S. Rd Intersection,Sec. 1??Heping E. Rd & Sec. 2??Jinshan S. Rd Intersection (Southwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,45,7,25.02669,121.52529,38,,
500101107,YouBike2.0_??箏?璅湛???蛔????剜???,2024/12/10 12:24,??箏??璇舀????璅湛???蛔??舫頦???Daan Dist.,YouBike2.0_Sec. 1??Heping E. Rd & Longquan St. Intersection,Sec. 1??Heping E. Rd & Longquan St. Intersection (Southwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,34,10,25.02638,121.52971,23,,
500101108,YouBike2.0_??箏?????蛔????剜???,2024/12/10 12:22,??箏??璇舀????????蛔???????Daan Dist.,YouBike2.0_Sec. 1??Heping E. Rd & Taishun St  Intersection,Sec. 1??Heping E. Rd & Taishun St  Intersection (Southeast),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,9,3,25.02621,121.53171,6,,
500101109,YouBike2.0_?蝞遜????剜憌??謘踐???,?剜???,2024/12/10 12:24,??箏??璇舀????29?賹?,Daan Dist.,YouBike2.0_National Taiwan Normal University (library),No. 129??Sec. 1??Heping E. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,40,23,25.0266,121.52973,13
500101110,YouBike2.0_?????舀賑??6?賹??,?剜???,2024/12/10 12:23,?ｇ謘?湔??哨??1?賹?,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 6),No. 41??Sec. 2??Roosevelt Rd,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,60,17,25.0276,121.52217,43
500101111,YouBike2.0_?????舀賑??5?賹??,?剜???,2024/12/3 11:14,??箏??璇舀????9?賹?,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 5),No. 19??Sec. 1??Heping E. Rd,0,2024/12/10 12:24,2024/12/10 12:24,2024/12/3 11:14,2024/12/3,14,0,25.02715,121.52293,14
500101113,YouBike2.0_?蝞??????謘踐????株部撠?,?剜???,2024/12/10 12:23,?梁???謅??哨???梁???謅??哨??51??????硃?),Daan Dist.,YouBike2.0_Taipei Public library,Sec. 2??Jianguo S. Rd & Ln. 151??Sec. 2??Jianguo S. Rd (Under Bridge),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,51,8,25.02895,121.5379,43
500101114,YouBike2.0_?????箏?????????剜???,2024/12/10 12:22,????謅??哨?????豰????曇???????Daan Dist.,YouBike2.0_Sec. 2??Xinsheng S. Rd & Sec. 2??Heping E. Rd Intersection,Sec. 2??Xinsheng S. Rd & Sec. 2??Heping E. Rd (Northeast),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,51,10,25.02657,121.53515,41,,
500101115,YouBike2.0_?梁????箏???舫頦????剜???,2024/12/10 12:24,?梁???謅??哨?????豰????曇??舫頦???Daan Dist.,YouBike2.0_Sec. 2??Jianguo S. Rd & Sec. 2??Heping E. Rd Intersection,Sec. 2??Jianguo S. Rd & Sec. 2??Heping E. Rd. (Northwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,50,3,25.02606,121.53738,47,,
500101116,YouBike2.0_??殉???,?剜???,2024/12/10 12:20,??殉??49?賹???Daan Dist.,YouBike2.0_Jinhua Park,No. 249??Jinhua St. (Opposite),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:20,2024/12/10,44,17,25.02984,121.53107,25,
500101117,YouBike2.0_????璇???3?賹??,?剜???,2024/12/10 12:19,?賤???????28?賹?,Daan Dist.,YouBike2.0_MRT Dongmen Sta. (Exit 3),No. 128??Sec. 2??Xinyi Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:19,2024/12/10,15,3,25.03383,121.52815,12
500101118,YouBike2.0_????????剜???,2024/12/10 12:14,?賤??????曇??????謅??哨??????Daan Dist.,YouBike2.0_Jin'ou Girls High School,Sec. 2??Xinyi Rd. & Sec. 2??Hangzhou S. Rd. (Southeast),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:14,2024/12/10,12,6,25.03519,121.5245,6,,
500101119,YouBike2.0_??秋????,?剜???,2024/12/10 12:23,?謜??璇舀?21???????謅??哨??5????????Daan Dist.,YouBike2.0_Jinhang Park,Ln. 21??Aiguo E. Rd. & Ln. 25??Sec. 2??Hangzhou S. Rd. Intersection (Southeast),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,20,9,25.03325,121.52436,10,
500101120,YouBike2.0_?謜???急????剜???,2024/12/10 12:23,?謜??璇舀???軋??竣????曇??舫頦???Daan Dist.,YouBike2.0_Aiguo & Jinshan Rd. Intersection,Aiguo E. Rd. & Sec. 2??Hangzhou S. Rd. Intersection (Southwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,43,6,25.03164,121.52661,37,,
500101122,YouBike2.0_?銵??謅??哨??93????謅?,?剜???,2024/12/10 12:23,?銵??謅??哨??93????謅?,Daan Dist.,YouBike2.0_Ln. 293??Sec. 2??Dunhua S. Rd (South),Ln. 293??Sec. 2??Dunhua S. Rd. (South),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,14,0,25.0237,121.54899,14
500101123,YouBike2.0_?銵??蝎?????剜???,2024/12/10 12:22,?銵??謅??哨??18??Daan Dist.,YouBike2.0_Sec. 2??Dunhua S. Rd & Sec. 2??Keelung Rd Intersection,No. 218??Sec. 2??Dunhua S. Rd,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,38,10,25.02215,121.54839,13,,
500101124,YouBike2.0_?堆?????81?????剜???,2024/12/10 12:23,?堆?????85??Daan Dist.,YouBike2.0_Ln. 181??Sec. 2??Anhe Rd,No185??Sec. 2??Anhe Rd,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,29,2,25.02721,121.54988,27,,
500101125,YouBike2.0_????蛔?????謍???01????,?剜???,2024/12/10 12:18,?謍???11??Daan Dist.,YouBike2.0_Linjiang St night market (Ln. 101??Tonghua St),No. 101??Tonghua St.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:18,2024/12/10,30,3,25.02952,121.55406,27,
500101126,YouBike2.0_????蛔?????蝎???,?剜???,2024/12/10 12:21,?蝎?????08??Daan Dist.,YouBike2.0_Linjiang St night market (Keelung Rd),No. 108??Sec. 2??Keelung Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:21,2024/12/10,29,5,25.02931,121.55721,24,
500101127,YouBike2.0_??????剜憌????剜?,?剜???,2024/12/10 12:22,?察???璇舀????1??Daan Dist.,YouBike2.0_National Taipei University of Technology (Everlight Building),No. 81??Sec. 3??Zhongxiao E. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,45,18,25.04177,121.53833,26,
500101128,YouBike2.0_????謅????19?????剜???,2024/12/10 12:24,????謅????13??Daan Dist.,YouBike2.0_Ln. 119??Sec. 1??Xinsheng S. Rd Intersection,No. 113??Ln. 119??Sec. 1??Xinsheng S. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,33,6,25.04003,121.53299,26,,
500101129,YouBike2.0_?岳????(?撮???,?剜???,2024/12/10 12:24,?撮?????2??Daan Dist.,YouBike2.0_Xing'an Elementary School (Ren'ai Rd),No. 22??Sec. 3??Ren'ai Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,28,4,25.03753,121.53523,24,
500101130,YouBike2.0_?????,?剜???,2024/12/10 12:22,?梁???謅????04??5?賹???Daan Dist.,YouBike2.0_Minrong Park,No. 45??Ln. 304??Sec. 1??Jianguo S. Rd. (South),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,15,1,25.03534,121.5354,14,
500101131,YouBike2.0_?箸??謅?1??40?????剜???,2024/12/10 12:23,?箸??謅???曇?蝮?菜????47??5????Daan Dist.,YouBike2.0_Ln. 340??Sec. 1??Fuxing S. Rd Intersection,Sec. 1??Fuxing S. Rd & Aly. 45??Ln. 147??Sec. 3??Xinyi Rd Intersection.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,50,32,25.03701,121.54348,18,,
500101132,YouBike2.0_?梁?????????剜???,2024/12/10 12:24,?梁???謅??????????曇????????,Daan Dist.,YouBike2.0_Sec. 1??Jianguo S. Rd & Sec. 3??Jinan Rd Intersection,Sec. 1??Jianguo S. Rd & Sec. 3??Jinan Rd Intersection. (Southeast),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,54,2,25.03935,121.53828,52,
500101133,YouBike2.0_????察???箸???2?賹??,?剜???,2024/12/10 12:24,?箸??謅?????撮?????23??3???潸號???,Daan Dist.,YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 2),Sec. 1??Fuxing S. R & Aly. 13??Ln. 123??Sec. 3??Ren'ai Rd. (Northwest),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,43,23,25.04035,121.5436,19
500101134,YouBike2.0_????剜???4?賹??,?剜???,2024/12/10 12:23,?賤??????????,Daan Dist.,YouBike2.0_MRT Da?謏彫 Sta (Exit 4),No. 6??Sec. 4??Xinyi Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,13,1,25.0332,121.5439,12
