Member_number,Date,itemDescription,Quality
3811,14-04-2015,red/blush wine,1
4766,29-09-2015,whole milk,1
2436,12-04-2015,frankfurter,1
3860,05-05-2015,whole milk,1
4875,12-05-2015,frozen potato products,1
1587,01-07-2015,other vegetables,1
4038,08-07-2015,citrus fruit,1
4750,21-09-2015,flour,1
1199,10-12-2015,sugar,1
1603,30-09-2015,frozen meals,1
3111,31-01-2015,chocolate,1
3894,13-12-2015,root vegetables,1
1456,18-09-2015,root vegetables,1
2022,04-03-2015,herbs,1
2505,30-11-2015,bottled water,1
4851,20-12-2015,sausage,1
4293,04-08-2015,coffee,1
2775,06-11-2015,pork,1
3693,18-02-2015,berries,1
1202,22-07-2015,soda,1
3699,23-08-2015,berries,1
4152,15-04-2015,fruit/vegetable juice,1
4155,26-01-2015,citrus fruit,1
4010,29-12-2015,pork,1
4389,20-10-2015,detergent,1
3746,17-08-2015,grapes,1
2560,17-05-2015,sausage,1
1503,25-07-2015,chicken,1
2555,23-12-2015,whole milk,1
3645,12-12-2015,citrus fruit,1
3886,11-09-2015,soda,1
2932,20-03-2015,sausage,1
1711,18-06-2015,frankfurter,1
4291,08-12-2015,sausage,1
1143,25-04-2015,soda,1
4564,08-07-2015,rolls/buns,1
3337,14-05-2015,beef,1
4931,04-05-2015,whole milk,1
2623,10-10-2015,processed cheese,1
4581,03-04-2015,tropical fruit,1
2635,11-06-2015,frankfurter,1
1095,30-10-2015,packaged fruit/vegetables,1
2990,23-05-2015,whole milk,1
2426,05-06-2015,berries,1
4555,07-11-2015,citrus fruit,1
3635,04-09-2015,tropical fruit,1
3058,18-05-2015,hamburger meat,1
4391,26-03-2015,hamburger meat,1
1306,23-06-2015,whole milk,1
1024,10-08-2015,fish,1
1295,23-07-2015,frankfurter,1
1661,01-06-2015,packaged fruit/vegetables,1
4591,15-05-2015,pastry,1
3169,14-06-2015,other vegetables,1
3915,21-05-2015,misc. beverages,1
1127,14-01-2015,frankfurter,1
4828,08-08-2015,sparkling wine,1
3683,10-06-2015,specialty bar,1
1971,18-09-2015,sausage,1
3014,11-11-2015,curd cheese,1
3779,15-09-2015,frankfurter,1
2489,04-05-2015,whole milk,1
3564,27-06-2015,newspapers,1
4092,30-09-2015,berries,1
3221,13-01-2015,curd,1
1279,06-09-2015,tropical fruit,1
2581,22-08-2015,soda,1
2295,25-02-2015,rolls/buns,1
4760,22-02-2015,canned beer,1
3649,16-01-2015,canned beer,1
1075,19-11-2015,frankfurter,1
3987,19-08-2015,other vegetables,1
4106,25-08-2015,whole milk,1
4338,24-06-2015,whole milk,1
4166,06-11-2015,citrus fruit,1
1211,10-03-2015,frankfurter,1
3954,21-01-2015,frankfurter,1
3928,18-07-2015,butter milk,1
3827,30-09-2015,hamburger meat,1
4699,08-02-2015,pasta,1
4747,08-06-2015,other vegetables,1
3028,09-06-2015,sausage,1
2851,16-03-2015,rolls/buns,1
4417,25-02-2015,grapes,1
3822,07-03-2015,root vegetables,1
2288,31-05-2015,coffee,1
2184,30-06-2015,popcorn,1
4554,27-08-2015,whole milk,1
3361,05-03-2015,tropical fruit,1
2999,17-04-2015,beef,1
2614,25-06-2015,whole milk,1
4064,05-06-2015,frankfurter,1
3567,04-10-2015,tropical fruit,1
2587,07-05-2015,canned beer,1
3783,17-06-2015,finished products,1
1923,14-02-2015,beverages,1
4835,19-02-2015,hamburger meat,1
1514,24-08-2015,whole milk,1
3154,22-06-2015,finished products,1
1313,25-12-2015,other vegetables,1
2794,18-07-2015,ham,1
2359,09-04-2015,other vegetables,1
2238,09-03-2015,curd,1
3795,17-01-2015,bottled beer,1
3724,26-11-2015,curd,1
1152,05-03-2015,whole milk,1
4559,16-03-2015,whole milk,1
3922,27-02-2015,dessert,1
1709,22-04-2015,sausage,1
2219,17-04-2015,other vegetables,1
2206,17-10-2015,ham,1
1752,06-04-2015,other vegetables,1
3942,10-11-2015,other vegetables,1
3296,17-08-2015,soda,1
2257,05-02-2015,herbs,1
4313,28-07-2015,frankfurter,1
2001,21-08-2015,rolls/buns,1
2449,08-07-2015,curd,1
4914,12-04-2015,frankfurter,1
2764,24-07-2015,other vegetables,1
4187,09-05-2015,dog food,1
1392,20-04-2015,specialty bar,1
3427,28-04-2015,curd,1
1411,20-02-2015,frankfurter,1
3390,14-11-2015,soda,1
4787,01-08-2015,beef,1
3310,17-01-2015,canned beer,1
1782,10-10-2015,pork,1
3375,26-04-2015,frankfurter,1
2760,07-01-2015,sausage,1
4249,13-09-2015,canned beer,1
2904,06-06-2015,specialty chocolate,1
4090,26-02-2015,curd,1
3060,05-07-2015,canned beer,1
3768,07-10-2015,whole milk,1
1232,21-01-2015,rolls/buns,1
1360,23-10-2015,pork,1
1107,01-10-2015,citrus fruit,1
2865,04-11-2015,pot plants,1
2958,14-06-2015,rolls/buns,1
2448,12-07-2015,butter,1
1222,24-09-2015,condensed milk,1
2943,20-06-2015,sausage,1
2270,11-08-2015,whole milk,1
3812,21-07-2015,sausage,1
1482,22-11-2015,beverages,1
4720,22-02-2015,beverages,1
1344,04-09-2015,bottled water,1
2397,04-10-2015,newspapers,1
4182,12-05-2015,cleaner,1
4487,10-07-2015,sausage,1
3467,24-12-2015,newspapers,1
2443,15-11-2015,sausage,1
2749,27-01-2015,misc. beverages,1
4389,13-04-2015,white wine,1
1674,04-12-2015,sausage,1
4262,16-10-2015,meat,1
2082,07-04-2015,frankfurter,1
4494,06-01-2015,ice cream,1
2460,28-09-2015,canned beer,1
4509,29-11-2015,tropical fruit,1
2267,03-07-2015,meat,1
4891,05-09-2015,whole milk,1
3962,20-09-2015,sausage,1
4964,18-07-2015,frankfurter,1
2914,30-11-2015,meat,1
2808,05-05-2015,root vegetables,1
1085,15-08-2015,root vegetables,1
3808,18-08-2015,whole milk,1
4149,07-01-2015,citrus fruit,1
2331,05-06-2015,citrus fruit,1
4475,03-04-2015,other vegetables,1
2761,25-04-2015,citrus fruit,1
2620,14-12-2015,sausage,1
3206,13-10-2015,frankfurter,1
1226,13-04-2015,hard cheese,1
1395,07-03-2015,cream cheese ,1
2465,07-06-2015,turkey,1
3572,09-07-2015,pork,1
4387,08-05-2015,whole milk,1
1555,27-03-2015,rolls/buns,1
1181,16-11-2015,sausage,1
2814,11-05-2015,ice cream,1
2794,16-09-2015,liquor,1
2912,28-01-2015,pip fruit,1
4667,12-01-2015,root vegetables,1
2235,25-10-2015,soda,1
2353,02-05-2015,soda,1
3449,08-03-2015,sausage,1
1058,10-11-2015,root vegetables,1
1027,17-05-2015,pork,1
3302,22-05-2015,pork,1
2229,30-05-2015,chocolate,1
2188,15-08-2015,fruit/vegetable juice,1
1547,18-04-2015,pickled vegetables,1
1649,30-06-2015,bottled water,1
3254,10-09-2015,frankfurter,1
2818,07-11-2015,tropical fruit,1
2703,08-05-2015,canned beer,1
3332,31-01-2015,root vegetables,1
2473,01-07-2015,meat,1
2810,30-12-2015,frankfurter,1
1033,22-04-2015,tropical fruit,1
4222,27-05-2015,tropical fruit,1
3679,21-09-2015,citrus fruit,1
2212,27-08-2015,hamburger meat,1
1507,22-06-2015,chicken,1
2870,21-01-2015,chicken,1
3429,26-04-2015,frankfurter,1
4148,09-04-2015,canned beer,1
2970,30-12-2015,turkey,1
2013,30-08-2015,packaged fruit/vegetables,1
3967,30-05-2015,pasta,1
2885,15-05-2015,citrus fruit,1
3935,02-07-2015,sausage,1
3283,01-05-2015,whole milk,1
3268,06-11-2015,canned beer,1
3677,30-04-2015,citrus fruit,1
3495,27-06-2015,liquor (appetizer),1
1410,04-10-2015,citrus fruit,1
2440,06-06-2015,sausage,1
4088,13-01-2015,chicken,1
2469,23-09-2015,hamburger meat,1
4229,06-03-2015,sausage,1
2728,02-08-2015,beef,1
4694,25-01-2015,citrus fruit,1
2836,29-12-2015,UHT-milk,1
1311,12-02-2015,candy,1
1760,23-01-2015,newspapers,1
3656,02-03-2015,beef,1
3720,28-05-2015,sausage,1
2996,26-09-2015,frankfurter,1
1949,22-07-2015,canned beer,1
4498,11-02-2015,bottled beer,1
2447,28-12-2015,onions,1
1952,23-03-2015,tropical fruit,1
4099,27-01-2015,bottled water,1
1804,12-03-2015,beef,1
1510,16-05-2015,sausage,1
2879,18-04-2015,hair spray,1
4899,12-03-2015,chicken,1
4326,29-09-2015,pork,1
1670,17-05-2015,ice cream,1
1117,24-05-2015,meat,1
1346,03-04-2015,other vegetables,1
1178,15-11-2015,bottled water,1
1649,25-06-2015,tropical fruit,1
4651,21-06-2015,photo/film,1
4243,02-04-2015,sausage,1
4429,21-07-2015,grapes,1
4645,25-07-2015,domestic eggs,1
4019,24-07-2015,rolls/buns,1
4459,26-04-2015,tropical fruit,1
3006,27-12-2015,chicken,1
1834,17-09-2015,frankfurter,1
3236,04-07-2015,berries,1
1765,11-03-2015,margarine,1
3855,09-03-2015,tropical fruit,1
4392,28-11-2015,ham,1
3330,26-07-2015,hamburger meat,1
1723,02-09-2015,yogurt,1
4110,30-03-2015,soda,1
2600,28-01-2015,yogurt,1
2946,07-10-2015,soda,1
2426,08-09-2015,bottled water,1
4170,03-05-2015,sausage,1
1109,06-04-2015,citrus fruit,1
3429,04-01-2015,shopping bags,1
2055,04-02-2015,newspapers,1
2480,20-09-2015,frankfurter,1
2441,30-05-2015,sausage,1
1054,04-10-2015,frankfurter,1
4818,11-01-2015,salt,1
3379,21-01-2015,oil,1
3939,10-02-2015,curd,1
1367,05-08-2015,other vegetables,1
1043,10-01-2015,citrus fruit,1
2231,17-10-2015,frankfurter,1
3235,28-12-2015,root vegetables,1
4554,16-07-2015,tropical fruit,1
3245,24-01-2015,beef,1
2996,19-05-2015,berries,1
2507,05-01-2015,canned beer,1
4186,25-10-2015,whipped/sour cream,1
3929,28-04-2015,root vegetables,1
3760,22-11-2015,whole milk,1
4928,18-08-2015,beef,1
4217,18-12-2015,frozen vegetables,1
1174,11-02-2015,rolls/buns,1
4103,19-06-2015,whole milk,1
4408,13-03-2015,whole milk,1
2588,28-12-2015,citrus fruit,1
2598,11-11-2015,pastry,1
1518,11-12-2015,frankfurter,1
2702,08-04-2015,tropical fruit,1
1001,20-01-2015,frankfurter,1
2270,30-09-2015,berries,1
2838,10-11-2015,rolls/buns,1
1683,26-05-2015,root vegetables,1
4040,03-04-2015,yogurt,1
3897,23-08-2015,other vegetables,1
2200,11-03-2015,berries,1
4073,29-01-2015,berries,1
3700,19-04-2015,other vegetables,1
3973,10-06-2015,rolls/buns,1
2715,06-07-2015,ham,1
3967,23-11-2015,whole milk,1
4002,03-09-2015,tropical fruit,1
2962,01-03-2015,bottled water,1
4340,25-12-2015,butter milk,1
2092,06-11-2015,newspapers,1
3143,24-05-2015,coffee,1
2209,03-10-2015,bottled beer,1
2816,22-08-2015,onions,1
2659,01-06-2015,hamburger meat,1
1588,13-10-2015,sausage,1
1144,15-10-2015,hard cheese,1
2166,10-12-2015,sausage,1
3300,06-10-2015,hamburger meat,1
3944,03-01-2015,onions,1
4979,24-04-2015,coffee,1
2630,21-01-2015,shopping bags,1
4240,29-04-2015,yogurt,1
2357,08-07-2015,soda,1
1743,18-04-2015,sliced cheese,1
2331,15-02-2015,sausage,1
1643,28-04-2015,yogurt,1
1291,20-03-2015,domestic eggs,1
3675,04-07-2015,whole milk,1
4134,06-11-2015,meat,1
1363,21-06-2015,dish cleaner,1
4212,01-05-2015,other vegetables,1
1500,21-03-2015,whole milk,1
2622,01-10-2015,other vegetables,1
3543,18-03-2015,tropical fruit,1
2525,24-05-2015,baking powder,1
1264,12-10-2015,specialty bar,1
3601,06-07-2015,ice cream,1
1771,23-03-2015,frankfurter,1
4694,06-02-2015,canned beer,1
1122,21-12-2015,bottled water,1
3507,12-08-2015,other vegetables,1
4524,26-04-2015,citrus fruit,1
3612,27-09-2015,sausage,1
3262,11-06-2015,domestic eggs,1
1897,25-01-2015,pork,1
1656,30-10-2015,specialty cheese,1
3953,10-01-2015,pork,1
1488,21-06-2015,beef,1
1652,17-03-2015,other vegetables,1
4953,16-09-2015,chicken,1
3445,30-04-2015,soda,1
3180,15-03-2015,whole milk,1
4934,06-09-2015,rolls/buns,1
2980,27-04-2015,bottled beer,1
2763,13-02-2015,root vegetables,1
4819,04-03-2015,pastry,1
3169,02-07-2015,berries,1
1850,11-03-2015,citrus fruit,1
4285,29-12-2015,whole milk,1
4366,13-08-2015,soda,1
2253,16-06-2015,bottled water,1
3398,11-03-2015,tropical fruit,1
2215,22-07-2015,salty snack,1
3737,03-03-2015,bottled water,1
2649,28-11-2015,chocolate,1
3203,07-08-2015,citrus fruit,1
4261,16-02-2015,bottled water,1
2435,17-07-2015,onions,1
2046,21-08-2015,dessert,1
4267,11-02-2015,beef,1
1086,28-12-2015,rolls/buns,1
1992,04-01-2015,beef,1
3622,26-07-2015,soda,1
4700,27-06-2015,coffee,1
2272,16-05-2015,rolls/buns,1
1663,19-05-2015,pork,1
2519,03-06-2015,soda,1
2639,30-10-2015,sausage,1
1466,19-04-2015,beef,1
4122,23-10-2015,whole milk,1
3598,15-04-2015,pork,1
3097,10-08-2015,berries,1
1873,19-09-2015,sausage,1
1537,01-02-2015,bottled water,1
3960,25-03-2015,tropical fruit,1
1136,15-06-2015,herbs,1
2453,21-12-2015,yogurt,1
1746,15-02-2015,Instant food products,1
3572,09-06-2015,specialty chocolate,1
3246,24-06-2015,coffee,1
3207,26-11-2015,bottled beer,1
1042,12-02-2015,beef,1
1176,30-03-2015,whole milk,1
3054,23-02-2015,frankfurter,1
4486,02-12-2015,frankfurter,1
1580,05-12-2015,other vegetables,1
1623,02-11-2015,frankfurter,1
4169,24-11-2015,whole milk,1
2254,24-01-2015,frankfurter,1
4095,01-11-2015,other vegetables,1
1264,17-11-2015,bottled water,1
3375,06-01-2015,pork,1
3242,23-05-2015,bottled water,1
2227,07-06-2015,other vegetables,1
3847,03-12-2015,hamburger meat,1
3897,31-05-2015,hamburger meat,1
1799,27-09-2015,shopping bags,1
2920,26-04-2015,whole milk,1
3713,31-01-2015,ice cream,1
4230,05-11-2015,pastry,1
1455,18-03-2015,ham,1
3687,18-03-2015,frankfurter,1
3869,01-08-2015,sausage,1
2988,14-10-2015,bottled beer,1
4242,30-03-2015,bottled water,1
4118,24-12-2015,meat,1
4996,24-10-2015,dessert,1
4489,04-03-2015,other vegetables,1
1199,09-11-2015,beverages,1
4108,12-05-2015,ham,1
3484,05-06-2015,specialty bar,1
1239,31-08-2015,brown bread,1
4839,19-12-2015,whole milk,1
4748,07-05-2015,rolls/buns,1
4426,06-06-2015,bottled beer,1
3571,11-12-2015,pet care,1
2852,08-06-2015,citrus fruit,1
3638,26-05-2015,pork,1
3635,10-03-2015,other vegetables,1
2723,07-05-2015,white wine,1
3495,11-03-2015,whole milk,1
2813,16-11-2015,pip fruit,1
2799,02-09-2015,sugar,1
4723,22-05-2015,tropical fruit,1
3313,08-04-2015,root vegetables,1
4748,15-12-2015,soda,1
2991,16-02-2015,whole milk,1
1483,01-04-2015,tropical fruit,1
3950,01-10-2015,white bread,1
1634,16-01-2015,brown bread,1
2694,21-11-2015,tropical fruit,1
2707,18-10-2015,domestic eggs,1
2813,16-07-2015,coffee,1
2276,11-01-2015,soda,1
4726,06-02-2015,whole milk,1
4353,25-05-2015,bottled beer,1
4017,13-08-2015,pork,1
1422,21-08-2015,other vegetables,1
2714,15-03-2015,yogurt,1
2769,21-07-2015,sparkling wine,1
4166,30-04-2015,bottled water,1
3614,02-03-2015,citrus fruit,1
4361,05-09-2015,hamburger meat,1
1922,22-09-2015,packaged fruit/vegetables,1
4728,06-09-2015,other vegetables,1
3646,08-08-2015,soda,1
1155,10-08-2015,whole milk,1
2119,11-06-2015,herbs,1
1602,29-08-2015,citrus fruit,1
1074,24-06-2015,misc. beverages,1
2256,11-04-2015,female sanitary products,1
1348,17-09-2015,soda,1
3806,28-08-2015,tropical fruit,1
1711,06-06-2015,soda,1
3959,12-04-2015,white bread,1
1590,15-08-2015,coffee,1
1962,08-06-2015,tropical fruit,1
1766,21-01-2015,pork,1
2551,21-10-2015,citrus fruit,1
2294,23-09-2015,frankfurter,1
4531,29-05-2015,frankfurter,1
2957,12-04-2015,frankfurter,1
4415,27-01-2015,other vegetables,1
1476,26-08-2015,yogurt,1
3978,23-07-2015,sausage,1
2062,22-09-2015,whole milk,1
3252,28-06-2015,pip fruit,1
3922,24-06-2015,whole milk,1
1491,17-10-2015,root vegetables,1
3526,26-08-2015,onions,1
4060,11-12-2015,specialty chocolate,1
1067,08-04-2015,hamburger meat,1
2840,27-01-2015,photo/film,1
4484,27-11-2015,rolls/buns,1
2353,07-02-2015,canned beer,1
3130,18-02-2015,canned beer,1
4273,14-06-2015,other vegetables,1
4565,30-12-2015,canned beer,1
2504,14-08-2015,curd,1
4127,23-10-2015,butter,1
2690,01-04-2015,other vegetables,1
4129,22-09-2015,whole milk,1
4511,29-06-2015,beef,1
1602,04-08-2015,sausage,1
4369,01-02-2015,soda,1
1302,29-09-2015,fruit/vegetable juice,1
3326,30-04-2015,rolls/buns,1
2066,21-05-2015,pip fruit,1
3483,15-01-2015,frozen vegetables,1
2840,12-02-2015,beverages,1
1807,18-05-2015,hamburger meat,1
2067,12-08-2015,root vegetables,1
3783,17-02-2015,canned beer,1
2884,04-01-2015,frozen vegetables,1
2908,15-03-2015,canned beer,1
1330,10-07-2015,newspapers,1
2293,08-05-2015,rolls/buns,1
3718,20-05-2015,hamburger meat,1
4338,25-01-2015,pip fruit,1
3486,08-11-2015,canned beer,1
3635,04-09-2015,grapes,1
2857,18-02-2015,root vegetables,1
3684,13-08-2015,citrus fruit,1
3120,20-10-2015,cling film/bags,1
3872,19-03-2015,frankfurter,1
2777,07-04-2015,whole milk,1
2702,27-05-2015,pork,1
4796,29-06-2015,chicken,1
1564,23-10-2015,sausage,1
2740,02-07-2015,specialty bar,1
1833,13-04-2015,whipped/sour cream,1
1757,23-12-2015,root vegetables,1
2975,24-10-2015,rolls/buns,1
4032,10-08-2015,other vegetables,1
3979,16-09-2015,citrus fruit,1
3772,09-03-2015,whole milk,1
4523,28-10-2015,frankfurter,1
4004,19-04-2015,coffee,1
2936,08-06-2015,ham,1
2394,21-06-2015,canned beer,1
4616,16-08-2015,canned beer,1
2362,08-07-2015,canned beer,1
3593,03-11-2015,pip fruit,1
4389,27-08-2015,pork,1
3206,11-08-2015,soap,1
4601,04-01-2015,pip fruit,1
4382,13-11-2015,beef,1
2718,08-06-2015,sausage,1
4691,12-10-2015,frozen chicken,1
3735,28-11-2015,soda,1
3900,20-12-2015,tropical fruit,1
4959,30-06-2015,other vegetables,1
1815,30-08-2015,beef,1
2454,08-04-2015,meat,1
4778,15-01-2015,meat,1
2289,04-11-2015,bottled water,1
1734,13-07-2015,rolls/buns,1
4019,05-02-2015,pastry,1
4605,28-05-2015,pork,1
4864,14-11-2015,pip fruit,1
4205,22-02-2015,beef,1
1862,03-08-2015,beef,1
1846,19-07-2015,rolls/buns,1
2019,28-05-2015,citrus fruit,1
2042,19-11-2015,meat,1
1768,26-05-2015,beverages,1
3847,26-03-2015,beef,1
3557,20-07-2015,ham,1
3975,27-02-2015,hamburger meat,1
4198,18-03-2015,beef,1
2580,04-09-2015,beef,1
3474,25-08-2015,root vegetables,1
1678,14-11-2015,citrus fruit,1
4254,14-08-2015,yogurt,1
4704,21-08-2015,tropical fruit,1
3343,10-05-2015,frankfurter,1
3812,24-06-2015,beef,1
3093,13-03-2015,shopping bags,1
2170,18-06-2015,canned beer,1
4867,29-10-2015,rolls/buns,1
3899,23-03-2015,other vegetables,1
2941,03-10-2015,hamburger meat,1
1958,03-07-2015,hamburger meat,1
2760,08-08-2015,frankfurter,1
4413,03-08-2015,bottled beer,1
1737,15-05-2015,tropical fruit,1
4202,18-02-2015,soda,1
1065,13-11-2015,frankfurter,1
3819,28-06-2015,chicken,1
2854,08-02-2015,coffee,1
4387,16-09-2015,whole milk,1
4530,12-04-2015,margarine,1
4191,03-11-2015,tropical fruit,1
3102,04-12-2015,meat,1
1946,25-01-2015,cream cheese ,1
2156,15-05-2015,newspapers,1
1444,16-12-2015,rolls/buns,1
1699,14-05-2015,citrus fruit,1
4954,04-05-2015,whole milk,1
2207,08-04-2015,frankfurter,1
4826,28-01-2015,ham,1
2374,08-06-2015,frankfurter,1
1604,18-08-2015,sausage,1
4437,29-11-2015,domestic eggs,1
2319,10-05-2015,whole milk,1
3018,27-06-2015,rolls/buns,1
1195,28-09-2015,whole milk,1
1768,04-09-2015,sausage,1
3017,28-09-2015,curd,1
3384,29-11-2015,bottled water,1
1918,30-01-2015,beef,1
2524,17-10-2015,frankfurter,1
2798,17-06-2015,chicken,1
2096,25-01-2015,sausage,1
1489,13-03-2015,pork,1
1431,20-07-2015,yogurt,1
2747,05-07-2015,whole milk,1
3054,22-03-2015,frankfurter,1
2691,09-10-2015,beef,1
1752,19-04-2015,pip fruit,1
3027,15-09-2015,sausage,1
4452,17-06-2015,pastry,1
4129,13-08-2015,chicken,1
3523,09-11-2015,root vegetables,1
2128,11-02-2015,whole milk,1
4867,03-02-2015,detergent,1
4762,30-10-2015,rolls/buns,1
1632,29-05-2015,house keeping products,1
4018,17-11-2015,yogurt,1
1722,13-07-2015,tropical fruit,1
1438,19-10-2015,tropical fruit,1
3958,27-10-2015,curd,1
3292,13-09-2015,beef,1
2861,23-02-2015,whole milk,1
1757,24-02-2015,pork,1
1509,30-12-2015,other vegetables,1
2364,11-05-2015,rolls/buns,1
3084,26-10-2015,frankfurter,1
1850,17-02-2015,yogurt,1
1949,17-03-2015,whole milk,1
4740,02-10-2015,bottled water,1
1072,23-10-2015,frankfurter,1
4196,09-07-2015,rolls/buns,1
4814,13-09-2015,whole milk,1
1514,28-02-2015,rolls/buns,1
4584,25-10-2015,chicken,1
2751,03-02-2015,tropical fruit,1
4155,24-09-2015,sausage,1
4670,11-10-2015,sausage,1
4566,27-07-2015,frankfurter,1
2371,30-08-2015,UHT-milk,1
3442,14-11-2015,rolls/buns,1
3090,27-09-2015,canned beer,1
1457,09-01-2015,yogurt,1
4952,08-04-2015,whipped/sour cream,1
3165,11-01-2015,rolls/buns,1
2608,19-09-2015,rolls/buns,1
2040,07-10-2015,beverages,1
1327,09-08-2015,rolls/buns,1
3363,07-01-2015,rolls/buns,1
1731,09-09-2015,bottled beer,1
2760,02-08-2015,citrus fruit,1
3120,14-01-2015,bottled water,1
1332,30-04-2015,pastry,1
4530,12-09-2015,domestic eggs,1
3145,23-02-2015,beef,1
1099,13-08-2015,spread cheese,1
3188,06-12-2015,tropical fruit,1
3748,13-10-2015,packaged fruit/vegetables,1
4655,31-03-2015,whole milk,1
1827,01-05-2015,meat,1
2485,17-02-2015,onions,1
4683,15-01-2015,frankfurter,1
4358,06-11-2015,beef,1
1931,09-10-2015,beef,1
2490,18-12-2015,sausage,1
4842,08-12-2015,chicken,1
4616,01-01-2015,canned beer,1
2810,22-09-2015,sausage,1
2785,18-10-2015,tropical fruit,1
3591,20-07-2015,frankfurter,1
3896,10-09-2015,sausage,1
3842,01-07-2015,beef,1
2648,10-07-2015,tropical fruit,1
4688,02-10-2015,yogurt,1
3511,26-08-2015,frankfurter,1
3084,04-09-2015,bottled beer,1
3810,07-05-2015,grapes,1
4348,26-02-2015,beverages,1
3584,10-03-2015,curd,1
2620,11-06-2015,ice cream,1
2716,18-01-2015,sausage,1
3797,10-08-2015,other vegetables,1
2976,02-06-2015,dessert,1
2762,07-11-2015,decalcifier,1
3752,25-04-2015,canned beer,1
1659,30-11-2015,coffee,1
4109,08-02-2015,berries,1
1542,07-08-2015,pork,1
2068,07-06-2015,frankfurter,1
4509,14-06-2015,pork,1
4646,14-06-2015,frankfurter,1
2122,07-04-2015,frozen dessert,1
2730,15-06-2015,chicken,1
1800,31-07-2015,vinegar,1
1456,18-09-2015,rolls/buns,1
1138,02-09-2015,whole milk,1
4104,12-06-2015,pork,1
4985,28-02-2015,rolls/buns,1
3181,13-12-2015,grapes,1
3178,21-10-2015,frankfurter,1
1688,10-11-2015,finished products,1
1488,28-11-2015,onions,1
4975,08-05-2015,tropical fruit,1
4697,09-01-2015,other vegetables,1
4742,11-01-2015,ham,1
2640,22-04-2015,other vegetables,1
2548,25-12-2015,curd,1
2825,29-12-2015,sausage,1
2592,04-07-2015,canned beer,1
3622,28-12-2015,ham,1
4852,21-08-2015,packaged fruit/vegetables,1
1839,03-09-2015,meat,1
2413,04-04-2015,whole milk,1
2982,14-06-2015,canned beer,1
1981,31-10-2015,chicken,1
4440,21-09-2015,rolls/buns,1
3497,24-11-2015,pet care,1
3668,18-12-2015,root vegetables,1
4460,28-05-2015,pastry,1
1335,16-01-2015,frankfurter,1
4303,07-12-2015,chicken,1
3508,28-02-2015,frozen dessert,1
1959,19-03-2015,citrus fruit,1
3856,06-03-2015,sausage,1
3141,29-07-2015,root vegetables,1
4640,25-09-2015,root vegetables,1
4851,25-05-2015,bottled beer,1
3306,22-09-2015,frankfurter,1
2193,08-04-2015,root vegetables,1
1156,13-09-2015,berries,1
4596,08-04-2015,hamburger meat,1
1245,08-10-2015,tropical fruit,1
1515,05-07-2015,frankfurter,1
2564,14-07-2015,frankfurter,1
4527,18-10-2015,soda,1
2487,09-07-2015,ice cream,1
3420,27-02-2015,beef,1
4442,28-11-2015,whole milk,1
3164,30-04-2015,pork,1
