,type,user,content,ipdatetime
20,推,pchome0503,抱歉 美的太不實際了XD,02/24 13:15
21,推,sunnny,22綠超美,02/24 13:50
22,推,ie975249,蠻美的,02/24 20:03
23,推,PTJobKing,真的很美,02/24 20:42
24,推,sodahaini,感覺被擠得很大力 很好奇舒適度,02/24 22:18
25,推,mavis825,22綠跟53黑好吸眼,02/25 10:17
26,推,chienwei0825,好好看 可是沒錢買這麼貴的給女友..,02/25 15:07
27,推,metaphorist,美翻了！！！,02/26 04:06
28,→,standby,很美!! 身材好羨慕QQ,02/26 11:50
29,推,irenejain,推suki大！你每次推薦的款式都好穿又好看！！！,02/26 22:19
0,推,sunnny,sloggi會另外有櫃，可以問看看,02/14 01:07
1,→,hsnufuji,運動內衣我推運動品牌的,02/14 12:55
2,→,fuuyoku,近期去黛安芬櫃上運動內衣好像一般只放新款，特賣比較多,02/15 12:53
3,推,fuuyoku,百貨內sloggi跟黛安芬是分開的，一般門市黛/蕾/s都有,02/15 12:58
4,推,sunnny,百貨內黛和S會分開，而且有點還分很遠不會在隔壁，我第一,02/17 16:37
5,→,sunnny,次買S家跑去黛的櫃上，店員人很好還告訴我S櫃點在哪裡,02/17 16:38
6,→,endflower,"真的,買不熟的內衣都會搞不清狀況,很多衣服也是同集團",02/18 17:47
7,→,endflower,"不同櫃,有時候真的隔超遠~",02/18 17:48
0,推,ruriko30y,關鍵字是corset，日文是コルセット，我買過日本洋裝品,02/11 00:27
1,→,ruriko30y,牌的馬甲，布料加魚骨鋼板前扣真的很重,02/11 00:27
2,推,ie975249,https://reurl.cc/Wk06AL,02/11 08:46
3,→,ie975249,https://reurl.cc/e6MRMx,02/11 08:46
4,→,ie975249,附兩個淘寶的給你，關鍵字下宮廷馬甲比較會是你要的，不,02/11 08:47
5,→,ie975249,過，這種綁帶的馬甲，如果又有塑身效果的，比較沒彈性，,02/11 08:48
6,→,ie975249,魚骨也會比較多，穿起來很不舒服，蠻虐的，所以有時候會,02/11 08:49
7,→,ie975249,在 SM 的分類底下看到。,02/11 08:50
8,推,boozycat,俄羅斯烏克蘭那邊手工訂製的獨立品牌馬甲蠻多家的，可以,02/27 08:24
9,→,boozycat,去ig或Etsy逛逛詢問賣家,02/27 08:24
0,→,rerun,今天在等公車時看到車廂外廣告,02/10 21:14
1,推,elsa09,個人覺得包覆集中，但四排扣不太習慣，穿久些許難呼吸,02/12 19:31
2,推,j326,穿一個月目前都覺得包覆集中，無鋼圈這樣真的滿厲害，不會有,02/17 02:14
3,→,j326,樓上覺得難呼吸的感覺，建議可以的話去試穿比較準,02/17 02:14
4,→,imfox,建議去門市試穿，自己也是大D小E試穿覺得副乳不夠包覆，因,02/21 00:26
5,→,imfox,強調集中，覺得乳溝集中的不好看，畢竟無鋼圈很看版型胸型,02/21 00:28
0,推,thefirstskyt,換內衣 跟版型有關,02/05 22:09
1,→,higoodman,會翹的放著冬天衣服比較多層時再穿，先換適合的,02/06 10:12
2,→,hsnufuji,那不就是變形要淘汰了嗎,02/06 15:21
3,推,AIR28P,我也覺得是版型問題！,02/07 12:04
4,→,AIR28P,如果每一件都是這樣，會不會是太用力洗內衣導致？,02/07 12:05
0,推,ie975249,推好心，雖然是華歌爾，不過看起來像是思薇爾,01/31 02:27
1,→,SophiaH,"不是喔, 可能因為我拆了腰圍頂端的蝴蝶珠飾 拿去做別的",01/31 08:53
2,→,SophiaH,手作,01/31 08:54
0,推,Fantasyweed,馬甲好美啊啊啊！！！！！！,01/30 00:49
1,推,Obiwan,原來是你買走馬甲的，真羨慕！我們去的時候已經賣掉了,01/30 13:12
2,推,Jyang,感謝分享，很性感，這戰鬥服無誤啊！,01/30 13:20
3,推,riesz0505,上胸無肉很挑內衣QQ 妳穿起來都好好看，有燒～,01/31 07:52
4,→,a127871465,馬甲那個當初在DD買真的是貴...,02/03 00:32
5,推,diablohinet,好看推,02/12 06:59
0,→,queen0908,想問穿起來會悶熱嗎?,01/25 15:51
1,推,fleurdumal,請問容易卡屁嗎 目前穿月亮褲頗卡屁很煩,01/26 10:20
2,推,love91041,也想請問量多時會感覺得到褲底濕濕的嗎？我也是用月亮,01/26 15:35
3,→,love91041,褲都會覺得濕濕的不太舒服,01/26 15:36
4,推,e8242002,我是收到信有回購優惠所以也有入，看到這次的改良讓我,01/26 18:34
5,→,e8242002,好感動，之前提的意見真的被採納了,01/26 18:34
6,推,emilyang,有這個好像就不用一直買棉棉了！,01/27 11:48
7,→,mavis825,經血塊的部分呢？吸收狀況如何？,01/27 14:14
8,推,sleepdesign,2、3好愛><,01/27 14:52
9,→,sleepdesign,走錯篇XD,01/27 14:52
10,推,mavis825,還是謝謝妳的分享：）,01/27 19:18
11,→,j20110405,我沒穿過，不過聽說血塊的部分還是要自己用衛生紙擦掉,01/28 13:20
12,推,love91041,哇嗚感覺不錯有點心動，但月亮褲才買沒多久QQ,01/28 16:09
13,→,love91041,不知道有沒有人兩個牌子都穿過的能分享比較心得> <,01/28 16:10
0,推,tooru,我去年7月去Salute，聽櫃姐說之後台灣可能不太會進貝殼杯系,01/22 00:57
1,→,tooru,列。所以現在還有嗎？我也愛貝殼杯～,01/22 00:57
2,推,Fantasyweed,好美～～～你的口吻害我大笑XDDDDDDDD,01/22 09:47
3,推,blockhorse66,貝殼好看,01/22 13:30
4,推,justin61417,貝殼杯很漂亮！,01/22 13:40
5,推,yoyoshian,推貝殼杯！我也很愛,01/22 23:46
6,推,sukiyasuki,我愛死貝殼杯了！效果非常非常好。目前已買了三件，,01/23 22:12
7,→,sukiyasuki,之後要繼續買！,01/23 22:12
8,推,paullintnn,喜歡salute貝殼杯的話可以考慮日本樂天直購,01/23 23:14
9,推,sodahaini,好美啊,01/24 15:12
10,→,sleepdesign,2、3好好看~,01/27 14:53
11,推,cin826,我也很愛貝殼杯，不壓迫肋骨,02/12 14:24
