,TRANSACTION_DT,CUSTOMER_ID,AGE_GROUP,PIN_CODE,PRODUCT_SUBCLASS,PRODUCT_ID,AMOUNT,ASSET,SALES_PRICE
55,1/22/2001,1427844,,106,520473,4710017098100,1,20,29
56,11/26/2000,2038247,60-64,106,110411,4710088414120,1,24,33
57,11/25/2000,1073416,35-39,115,110136,78895120295,1,17,22
58,2/25/2001,1803501,40-44,221,100505,4710128030020,1,17,22
59,11/24/2000,76227,45-49,115,520420,4945680315364,1,55,82
60,1/6/2001,1182422,40-44,115,110105,4710046011101,1,30,36
61,1/21/2001,2100937,40-44,Others,110401,4710008290025,1,46,45
62,1/7/2001,20794,40-44,115,500201,4710114128038,1,158,169
63,12/2/2000,417020,30-34,115,760183,20435882,2,62,98
64,2/13/2001,1722727,40-44,221,530126,4711084113109,1,22,30
65,11/7/2000,812931,35-39,221,470207,4973167471050,1,571,711
66,11/29/2000,832687,40-44,115,530404,4710363340007,1,74,79
67,12/1/2000,2097749,45-49,Unknown,110106,4711271000014,2,28,18
68,1/14/2001,1950182,35-39,114,100106,4014400901573,1,97,108
69,11/28/2000,630931,50-54,115,530105,4901616006539,1,138,179
70,2/11/2001,1614848,35-39,110,720131,20550370,1,75,119
71,2/3/2001,1148282,,115,100516,4711588210106,1,111,121
72,11/8/2000,1612844,30-34,221,520473,4715062910384,1,105,151
73,12/11/2000,1831221,30-34,221,100401,4710043355147,1,216,239
74,12/10/2000,1470369,40-44,221,100210,4710015103479,1,52,65
75,11/23/2000,928595,50-54,115,530408,4710094014406,1,138,135
76,11/17/2000,1815894,25-29,221,530116,4710032502125,1,73,79
77,2/21/2001,530958,30-34,105,130315,4714981010038,2,50,26
78,11/29/2000,1131543,50-54,Others,560402,8712045012727,1,538,569
79,2/28/2001,1802054,30-34,110,110401,4710088410139,1,48,54
80,1/9/2001,2167480,35-39,115,130106,4710189851268,1,5,5
81,12/6/2000,2163307,50-54,110,100203,4710304120224,1,19,25
82,1/31/2001,1636956,30-34,114,500201,4710291138134,1,95,105
83,1/4/2001,188005,40-44,Others,520414,4711713060132,1,70,94
84,11/3/2000,2152554,25-29,115,110103,4711985100024,1,56,53
85,1/16/2001,1797381,55-59,114,712901,4902704244567,1,74,98
86,11/9/2000,1722543,40-44,221,501002,20401351,1,39,59
87,1/26/2001,1556872,35-39,221,731106,20485290,1,155,230
88,12/11/2000,1908978,25-29,221,530101,4710036220018,1,71,87
89,12/3/2000,1205954,35-39,221,120110,4710088490483,1,45,55
90,1/7/2001,943284,35-39,115,100205,4710035351508,1,14,17
91,12/10/2000,1646979,40-44,106,530209,4714058833133,1,90,99
92,2/28/2001,1391206,45-49,114,100307,4711300986999,1,40,52
93,12/31/2000,443531,45-49,115,760103,4713888603350,3,78,117
94,2/3/2001,54249,>65,115,760518,2100228000047,2,90,124
95,12/14/2000,1925562,45-49,115,100414,4710498235674,1,92,119
96,1/19/2001,1896268,30-34,Unknown,560201,4711553171531,1,176,199
97,12/7/2000,1867268,35-39,221,130315,4714981010038,1,23,22
98,11/2/2000,1546439,35-39,Others,110207,4711408000269,1,23,31
99,2/5/2001,198127,30-34,115,500202,4710114363156,1,75,83
100,1/1/2001,339506,35-39,110,110118,4710012131130,1,35,42
101,2/18/2001,1726626,40-44,221,110507,4710172030069,5,110,140
102,11/5/2000,207744,35-39,115,530125,4719859015061,1,60,68
103,2/16/2001,2031408,30-34,115,110501,4711856000125,1,9,10
104,12/3/2000,1786323,35-39,221,110208,4710943100328,1,12,16
105,1/23/2001,1136579,50-54,115,501003,20487546,1,50,72
106,11/11/2000,2075686,25-29,Others,530104,4710120001653,1,75,99
107,1/9/2001,1524000,30-34,Others,760916,4717362901031,2,102,150
108,11/24/2000,27243,50-54,115,100205,9310034300054,1,29,39
109,11/19/2000,1865431,25-29,115,570102,4716114000312,1,61,75
110,12/29/2000,1638080,40-44,115,760151,4715808725227,1,112,138
111,1/30/2001,1314564,50-54,110,760191,4710177036110,1,320,436
112,11/13/2000,1670981,40-44,115,530406,4710094021473,1,49,59
113,1/11/2001,1753813,40-44,221,130204,4710105015132,1,111,121
114,1/14/2001,1403992,35-39,221,520472,4715062320589,1,45,69
115,2/25/2001,952712,<25,115,720507,5411035200108,1,155,215
116,11/6/2000,1842166,40-44,106,560403,4710498123964,1,137,129
117,12/11/2000,1726077,35-39,115,110401,4710088410139,1,48,51
118,11/2/2000,20459,40-44,114,110102,4714617946069,1,18,26
119,1/2/2001,1463620,60-64,115,300422,4987205000324,1,157,209
120,1/27/2001,1789225,35-39,115,500202,4710104131550,1,101,115
121,11/5/2000,1722611,35-39,106,760503,4714219810010,1,57,80
122,2/15/2001,2060187,<25,115,110501,4711856000088,1,9,10
123,2/11/2001,2161174,35-39,221,560104,4711553166735,2,86,78
124,1/3/2001,708456,50-54,221,530120,4710094019142,2,172,207
125,2/19/2001,1962161,25-29,221,130208,4710088432476,2,22,26
126,1/13/2001,2098562,50-54,105,500509,20515430,1,23,33
127,11/7/2000,102292,35-39,221,130206,4710339033025,1,50,69
128,11/4/2000,1712698,40-44,Others,130313,4710857472634,1,31,32
129,1/12/2001,1607239,35-39,110,120109,4712453001072,1,22,29
130,12/9/2000,1435207,40-44,Unknown,100201,4710126020481,1,64,79
131,12/8/2000,1877762,35-39,110,110701,44738209564,1,23,30
132,12/13/2000,1395563,40-44,Others,100406,9556001093714,1,80,100
133,11/12/2000,2013565,40-44,115,500102,4718433613235,2,64,90
134,1/13/2001,220361,>65,221,110208,4710734000592,1,14,18
135,11/19/2000,1453195,45-49,106,100312,37000445111,1,38,47
136,11/30/2000,159234,35-39,221,500302,4710367814337,1,145,143
137,11/16/2000,1611601,35-39,221,100205,4710247006944,1,72,71
138,11/12/2000,2034607,30-34,106,760561,4719111313102,1,20,29
139,11/15/2000,1782806,25-29,221,100516,4716462008022,1,425,429
140,11/10/2000,2128955,40-44,115,100431,4712067899218,1,99,129
141,1/20/2001,1577563,25-29,221,110124,4711701250804,1,44,52
142,1/18/2001,1216233,35-39,221,300117,4719857525180,1,57,85
143,11/12/2000,93842,25-29,221,110103,4710311012413,1,46,52
144,1/20/2001,831987,30-34,115,130309,4711572001147,1,23,30
145,11/2/2000,730457,35-39,115,110411,4710085172702,2,40,38
146,12/8/2000,974264,40-44,221,110323,4711186500012,1,26,33
147,11/19/2000,1254068,30-34,Unknown,560204,4710032501791,2,118,124
148,11/15/2000,2100098,25-29,115,110217,4710871000165,1,135,135
149,1/1/2001,2032849,50-54,110,530116,70501058008,1,170,179
150,1/23/2001,141949,45-49,221,110122,78895770025,1,54,75
151,11/29/2000,1997392,35-39,115,530104,4903301563488,1,40,51
152,2/28/2001,325196,60-64,115,110401,4710088410443,1,44,55
153,12/14/2000,950565,40-44,115,130201,4710105045450,1,15,20
154,12/30/2000,2079066,<25,115,110217,4710265849066,2,300,289
155,11/24/2000,281799,30-34,221,520502,4713352330058,1,9,13
156,2/13/2001,1756449,25-29,114,100205,4017100276118,1,30,39
157,2/10/2001,1192681,35-39,Others,530211,4710303360126,1,39,54
158,11/21/2000,1732320,35-39,115,530101,4710036026009,2,120,150
159,11/26/2000,1629316,<25,221,100201,8850332247152,1,19,23
160,11/24/2000,1520576,40-44,115,130109,4000504565124,1,106,135
161,12/4/2000,2112596,35-39,115,760518,20086206,1,87,125
162,11/23/2000,1402674,>65,115,110401,20535407,3,183,169
163,12/3/2000,883795,40-44,115,110401,4710088410610,1,19,26
164,2/22/2001,245456,30-34,221,120203,4715003111054,1,84,89
165,11/15/2000,1686326,50-54,115,130204,4710105015125,1,94,106
166,11/16/2000,711388,>65,115,760920,4714082600725,1,800,940
167,2/3/2001,1977523,30-34,Others,320103,4710431170789,1,57,69
168,1/12/2001,1197334,40-44,110,100323,4715874000532,1,38,52
169,1/21/2001,1608922,35-39,Unknown,100306,4713177020073,1,80,105
170,12/18/2000,1314304,35-39,221,100205,4710126003019,1,24,32
171,12/3/2000,1807769,<25,221,100201,4712019100591,1,35,39
172,12/7/2000,1155266,40-44,115,110118,4710012131130,1,35,40
173,12/28/2000,522687,60-64,115,500313,4719862630534,1,125,125
174,2/17/2001,1675832,30-34,221,520457,4711713491141,2,400,378
175,12/16/2000,1981018,25-29,Others,760623,20367763,1,30,45
176,12/15/2000,1976250,,Unknown,110411,4710199030578,1,20,23
177,2/4/2001,1638226,35-39,115,520464,2230123002294,1,36,55
178,12/17/2000,1724882,40-44,115,590301,4710107070030,1,107,123
179,2/3/2001,635073,35-39,221,110109,8007150900015,1,64,80
180,1/7/2001,410472,30-34,115,100301,4891237334077,1,68,85
181,2/10/2001,1728958,50-54,106,130108,4711686005062,1,24,32
182,11/23/2000,1593181,50-54,Unknown,130206,20332433,1,85,89
183,12/13/2000,1586640,50-54,115,120106,4719090790000,1,16,25
184,12/14/2000,2002743,45-49,115,110411,4710085172696,1,20,23
185,11/12/2000,2147741,>65,115,530105,4710596474609,1,103,128
186,2/28/2001,1444360,45-49,115,321308,4719174999725,1,64,79
187,2/14/2001,696463,40-44,106,100217,28400015547,1,95,108
188,11/12/2000,1966961,30-34,221,530405,4710094032011,1,39,38
189,1/4/2001,1153644,50-54,Unknown,100418,4711840607415,1,85,119
190,11/4/2000,1533163,35-39,115,110404,8801047271024,1,74,89
191,11/29/2000,1437478,35-39,Others,520144,20505233,1,80,99
192,2/25/2001,1862171,45-49,115,130204,4710105015125,1,77,88
193,12/10/2000,1660562,40-44,221,510326,4714232130027,1,44,65
194,11/12/2000,1603385,45-49,114,120115,4711369000018,1,133,169
195,1/15/2001,1437041,35-39,221,130206,20332433,1,85,99
196,12/4/2000,2106502,30-34,115,110715,8850987101021,2,12,17
197,12/26/2000,960229,40-44,115,530104,7038516501400,1,95,119
198,11/6/2000,682954,40-44,221,100405,15700072790,1,75,99
199,12/9/2000,1384505,40-44,221,100205,4710467221196,1,50,65
200,11/5/2000,1608564,35-39,221,100111,4711372660193,1,21,29
201,2/10/2001,2107110,35-39,221,560402,4710498123339,1,458,509
202,11/19/2000,982771,35-39,221,110501,4716701000060,1,11,14
203,11/12/2000,1347104,40-44,115,501002,2250062000182,1,69,99
204,11/9/2000,1554946,40-44,221,120110,4710321880170,1,44,58
205,12/10/2000,575416,45-49,115,120203,4711634002747,1,93,99
206,2/11/2001,1753820,25-29,110,110137,78895121247,1,78,95
207,1/21/2001,905602,35-39,115,130313,4711437000018,1,39,49
208,11/6/2000,1578607,30-34,221,120103,4710572001232,2,42,52
209,1/5/2001,1061437,35-39,Others,110704,8850367100088,1,16,22
210,12/28/2000,1893878,40-44,115,560405,4710498126361,1,129,147
211,1/19/2001,540216,35-39,115,500510,4710424708012,1,23,35
212,11/19/2000,1847994,35-39,221,110405,4710504960019,1,18,21
213,2/24/2001,763394,>65,221,100301,31200441256,1,267,299
214,1/21/2001,2069319,45-49,Others,100431,4710960918050,2,390,318
215,1/18/2001,948579,,Unknown,110217,4719090900065,1,150,119
216,2/6/2001,1466362,35-39,106,100414,4710375111114,5,555,675
217,1/21/2001,1808735,25-29,115,130106,4710583110015,1,25,22
218,11/22/2000,1596984,35-39,221,530103,4710054139422,1,74,79
219,12/15/2000,1618037,45-49,115,120103,4710030346080,1,16,18
220,2/17/2001,201964,30-34,Others,100403,4710179191503,1,204,239
221,1/13/2001,1885170,45-49,115,500901,4718121001016,1,95,139
222,11/9/2000,974806,>65,115,110106,4711271000014,1,14,16
223,1/21/2001,205498,30-34,115,500805,4714005055489,1,25,39
224,2/19/2001,1697780,40-44,115,760637,4713888603015,1,31,48
225,1/16/2001,814928,45-49,115,500203,4712425010446,1,88,102
226,11/28/2000,1573879,55-59,221,500201,4712425010712,1,128,116
227,11/21/2000,1658323,35-39,Unknown,500510,4718433614027,1,50,75
228,12/28/2000,1380293,40-44,110,500203,4710908131824,1,80,85
229,1/30/2001,2173795,40-44,110,130204,4710105045313,1,16,19
230,12/28/2000,1557428,35-39,221,100323,4712482040400,1,23,32
231,1/22/2001,1721935,40-44,115,120302,74570334162,1,167,219
232,11/11/2000,1548969,45-49,115,100510,4710043004731,1,188,275
233,1/12/2001,1623277,35-39,Others,130306,4710056516849,1,19,24
234,2/9/2001,156493,30-34,115,110217,4712162000038,1,150,145
235,1/12/2001,1940848,45-49,221,712901,8888021100624,1,114,150
236,11/15/2000,1300307,45-49,115,540601,4713691060005,1,90,125
237,1/16/2001,1905090,45-49,115,110217,4712162000038,2,300,294
238,11/25/2000,1996173,40-44,221,100205,9310034300047,1,29,35
239,1/22/2001,147910,35-39,115,320201,4710644730114,2,114,178
240,12/17/2000,58278,40-44,221,712901,8888021100624,1,114,150
241,12/17/2000,1670653,30-34,114,530104,4711566856951,2,152,198
242,11/25/2000,1635485,30-34,115,100205,4710085120703,1,21,28
243,12/17/2000,482479,35-39,115,530101,4710054132201,1,76,96
244,1/23/2001,20459,40-44,114,110117,4710883000108,1,24,30
245,11/19/2000,1711837,35-39,115,120104,4719090702027,1,142,180
246,1/1/2001,540018,35-39,115,520508,4710017081447,1,28,39
247,12/30/2000,1040333,45-49,221,530101,4902430493024,1,87,104
248,11/24/2000,1933802,30-34,114,100403,4710498236244,1,118,149
249,1/6/2001,106849,35-39,Unknown,100110,4710126040076,1,78,95
250,12/5/2000,1289343,30-34,221,560201,4902430040334,1,779,839
251,2/23/2001,2069104,40-44,115,120101,4710093080044,1,101,95
252,12/30/2000,1814545,30-34,110,130208,4710088434197,2,38,48
253,2/8/2001,205207,30-34,221,760518,20086206,1,87,125
254,11/30/2000,2121956,30-34,221,120115,4714242832669,3,102,105
255,2/25/2001,1741407,40-44,114,110106,4711271000090,1,42,45
256,2/22/2001,204446,>65,115,130315,4714981010038,2,50,26
257,2/24/2001,2104102,50-54,115,110133,4710475001209,1,50,65
258,1/29/2001,1686685,30-34,115,130102,4710105002026,3,42,42
259,12/10/2000,1510799,55-59,115,130315,4713985863121,1,23,23
260,12/2/2000,963848,45-49,115,530105,4710168102206,1,110,135
261,1/13/2001,1738117,35-39,110,100205,8801019931536,1,47,55
262,1/19/2001,2112596,35-39,115,110401,4710110510523,1,45,55
263,2/27/2001,342193,30-34,221,120302,4710250360101,1,35,39
264,11/12/2000,59848,30-34,221,560339,4710091330103,1,45,51
265,11/24/2000,1620757,35-39,110,100310,4710866000507,1,33,40
266,12/15/2000,181402,>65,221,530302,4710038806128,1,129,139
267,2/17/2001,1980073,<25,115,110112,27000639641,1,82,99
268,1/14/2001,2104805,25-29,Others,100323,4710218360037,1,160,198
269,12/17/2000,2160245,30-34,221,110411,4710085120628,1,20,23
270,2/6/2001,984263,30-34,115,530104,4711566856975,1,80,99
271,1/13/2001,1575415,25-29,Others,130205,4710105051680,2,30,38
272,1/18/2001,1596915,40-44,115,110403,4710175565131,1,27,36
273,12/7/2000,997447,35-39,114,100418,4710094011221,1,142,176
274,12/9/2000,1794021,40-44,114,100503,4710171004559,1,80,86
275,11/2/2000,631020,30-34,115,100211,4713540001609,1,28,35
276,11/12/2000,582476,30-34,115,130204,4710063312168,1,112,123
277,12/16/2000,1567113,40-44,115,100301,4711128778998,1,70,89
278,1/14/2001,944595,40-44,115,510327,4714499850102,1,25,39
279,1/14/2001,1423365,,Others,520425,4973271681475,1,91,132
280,1/20/2001,1769098,55-59,115,110109,27000666647,1,90,118
281,12/12/2000,102292,35-39,221,130205,4710105045719,3,33,42
282,1/16/2001,2166698,50-54,114,110106,4711271000472,1,42,50
283,11/13/2000,28547,40-44,115,110119,4711258001256,1,28,36
284,11/26/2000,1828146,30-34,115,760111,4711703980334,1,13,18
285,1/28/2001,1404319,30-34,115,110129,4710254055010,1,41,49
286,11/4/2000,2097497,50-54,221,130309,4716189000767,1,64,80
287,12/10/2000,1932096,<25,110,110118,4710012142136,1,31,38
288,11/27/2000,1254914,45-49,115,110117,4710685440362,1,41,43
289,11/13/2000,1658682,45-49,115,120103,4710572001225,2,42,52
290,1/17/2001,740203,50-54,115,110401,4710088410139,1,48,54
291,1/20/2001,1446661,30-34,115,520457,4716545059026,1,85,120
292,12/3/2000,1885781,35-39,110,110136,4711701660702,1,20,26
293,2/21/2001,40662,40-44,115,100201,4710174003849,1,20,25
294,1/18/2001,987660,45-49,115,100324,723125485025,1,50,65
295,2/18/2001,1272703,>65,221,110605,4710254015014,2,68,84
296,2/12/2001,2141350,<25,115,100312,37000441809,1,40,36
297,1/1/2001,1965766,60-64,115,100106,4713139002307,1,60,79
298,12/2/2000,882514,35-39,115,530104,4712720490035,1,48,62
299,1/20/2001,1977929,35-39,221,110401,4710088410610,2,38,49
300,11/30/2000,1691122,35-39,115,100310,4710189880688,1,68,75
301,12/30/2000,1958898,50-54,114,530110,4902430041232,1,204,239
302,12/29/2000,2012131,25-29,115,520472,4716349008121,6,264,390
303,11/22/2000,1587685,>65,115,100401,4710043006902,1,230,265
304,1/17/2001,581110,35-39,115,100401,4710043001563,1,432,499
305,2/19/2001,1846942,,Unknown,530404,4710492811027,1,95,99
306,11/5/2000,1312331,35-39,115,760230,4710677008211,1,27,40
307,11/3/2000,324977,40-44,221,110504,4710323168054,2,34,40
308,11/24/2000,1756999,40-44,221,100507,4710632001547,1,30,34
309,11/29/2000,630849,40-44,115,130401,4711587808946,1,97,99
310,12/23/2000,154451,35-39,115,500210,4710104111569,3,276,291
311,2/21/2001,1607000,35-39,221,760557,4715140043089,1,50,79
312,2/8/2001,1928037,40-44,110,500201,4710114128618,2,240,216
313,1/21/2001,1726879,40-44,105,130305,4719581980279,1,66,98
314,2/18/2001,1626360,35-39,221,100205,4973540001256,1,29,39
315,1/18/2001,1513738,40-44,221,320206,4712076620032,1,25,39
316,12/3/2000,1561197,30-34,221,100325,4710988000553,1,35,39
317,11/3/2000,1689983,25-29,221,110507,4710010050044,1,19,24
318,12/30/2000,1776140,35-39,Others,500102,4718433613228,1,65,86
319,11/14/2000,950565,40-44,115,110136,4710254049323,2,68,86
320,2/4/2001,2029986,30-34,Others,110117,4710063031144,2,114,60
321,2/23/2001,1740912,35-39,221,560328,4987133014806,1,150,199
322,2/22/2001,948098,50-54,221,110504,4710323168016,2,34,40
323,2/22/2001,536585,45-49,114,760535,4718938570200,1,33,45
324,11/13/2000,1959994,30-34,115,100513,4710095987402,1,85,94
325,12/29/2000,1782431,40-44,221,110106,4711271000014,2,28,32
326,11/25/2000,2063263,30-34,Others,110217,4712162000038,1,150,145
327,1/14/2001,1607628,35-39,Unknown,100312,723125481409,1,24,30
328,1/14/2001,2039763,35-39,221,530302,4710363502009,2,62,66
329,1/21/2001,1539868,45-49,Others,130305,614632010285,1,71,93
330,1/2/2001,1174885,35-39,Unknown,130206,20332433,1,85,99
331,12/16/2000,1808681,50-54,Unknown,110118,4710012141023,1,26,30
332,12/12/2000,2097879,45-49,115,530101,4710054135202,1,65,66
333,11/16/2000,1969184,35-39,Others,520457,4714276103704,2,66,92
334,1/1/2001,929271,45-49,115,100440,4710160001033,1,86,116
335,11/25/2000,897143,45-49,115,530202,4710084212010,2,100,118
336,12/2/2000,1677249,25-29,114,110106,4711271000014,2,28,18
337,12/31/2000,760744,55-59,115,500210,4712425010255,4,372,428
338,11/12/2000,1776065,40-44,110,100301,4711128778813,1,58,75
339,12/10/2000,433686,40-44,115,100510,4710126152038,4,200,248
340,11/22/2000,26123,45-49,115,500103,2250271000218,3,60,90
341,12/13/2000,1881653,30-34,221,100302,4710603011520,1,88,99
342,1/1/2001,1465136,50-54,115,110506,4710320224289,2,116,144
343,2/23/2001,1575927,30-34,115,760656,4718938570248,1,34,48
344,2/22/2001,48149,>65,115,500201,4712425010712,1,121,129
345,12/15/2000,1658125,35-39,221,760170,4714778000754,1,11,16
346,2/23/2001,1834291,45-49,Others,110142,4712031000572,1,56,69
347,2/15/2001,825320,40-44,221,760617,4711703121836,1,10,17
348,11/28/2000,1404913,,Others,530505,4710303235707,1,98,119
349,12/10/2000,1206111,35-39,105,100205,4710247005206,1,72,85
350,1/20/2001,2010830,40-44,221,110105,4710046021100,1,30,36
351,11/12/2000,2027562,45-49,115,100208,4710144101452,1,79,81
352,1/3/2001,902007,55-59,221,100104,4903316401126,1,28,38
353,1/19/2001,1453263,35-39,221,110102,4712031000565,1,31,39
354,1/31/2001,1733440,30-34,Others,560334,4710091110590,1,162,209
355,12/4/2000,1181265,50-54,115,110217,4712162000038,2,300,290
356,1/22/2001,1661996,<25,110,100109,4710047512614,2,288,336
357,12/17/2000,1322781,40-44,Others,520144,4710017051044,1,85,120
358,11/25/2000,1203653,35-39,221,100414,4714532132202,2,168,178
359,12/3/2000,1669381,55-59,115,120103,4710126095144,1,21,27
360,11/20/2000,828499,35-39,114,110108,4710088620170,1,89,101
361,2/23/2001,1415636,,Others,500201,4710104112924,1,130,137
362,12/28/2000,1182040,>65,221,130103,4710088436498,2,30,38
363,1/11/2001,453875,30-34,114,320202,20246884,1,97,132
364,1/17/2001,338110,45-49,Unknown,130305,4719581980248,1,62,98
365,12/27/2000,1640663,40-44,221,560405,4710043004090,1,130,165
366,12/12/2000,1482591,35-39,110,110106,4711271000014,2,28,18
367,1/23/2001,1251593,35-39,115,530105,9310042571491,2,262,330
368,11/11/2000,2157115,30-34,221,730715,20564933,1,380,390
369,1/14/2001,1737417,40-44,115,130315,4714981010038,1,25,25
370,11/24/2000,1569315,30-34,Others,100413,4710960911082,2,200,218
371,1/11/2001,1551778,25-29,115,100205,4956043788695,2,48,64
372,12/2/2000,1700992,40-44,115,110106,4711271000014,1,14,9
373,2/18/2001,265195,35-39,221,130205,4710105045214,2,56,72
374,11/5/2000,1160192,30-34,115,760131,4710177193691,1,60,89
375,12/14/2000,1661859,30-34,221,320108,4710644700827,1,78,69
376,2/15/2001,414760,>65,115,500210,4712425010255,1,93,99
377,12/4/2000,2129419,25-29,221,100505,4710018008634,1,62,72
378,1/21/2001,1501186,40-44,115,100323,4719452000020,1,36,45
379,12/26/2000,1332995,35-39,221,760121,4710177026357,1,18,28
380,1/17/2001,1856798,25-29,115,100310,4710030395057,1,78,105
381,11/30/2000,1544886,35-39,114,760211,4716447022203,1,46,59
382,1/21/2001,557726,40-44,105,530406,4710094020179,1,71,80
383,12/31/2000,1876765,30-34,115,100303,4712494211201,1,19,24
384,2/28/2001,1521573,35-39,110,530105,4710494050158,1,52,72
385,12/9/2000,1110241,,Unknown,100413,4710960892084,1,42,52
386,11/9/2000,699594,40-44,115,711310,4902520163103,1,150,179
387,1/7/2001,1058888,45-49,221,130105,4711437000056,1,13,16
388,1/20/2001,655743,25-29,110,760112,20513191,1,15,32
389,11/21/2000,1989601,,Unknown,560201,4710036110074,1,295,341
390,12/10/2000,1542370,35-39,Others,540209,20370688,2,80,98
391,2/21/2001,1679601,30-34,110,712902,41333630014,1,89,115
392,11/16/2000,1212839,30-34,221,110411,4710085120697,1,17,16
393,2/4/2001,794350,35-39,115,130205,4710088502209,2,40,50
394,1/31/2001,2031811,30-34,110,470105,4973167738757,1,1700,2115
395,1/23/2001,2146522,<25,221,500705,4715747122231,1,135,169
396,1/16/2001,1717976,<25,115,110119,4711258002505,2,122,150
397,2/26/2001,1830859,45-49,115,530403,4710363352000,2,236,198
398,1/1/2001,338455,45-49,115,501002,20556372,2,86,118
399,11/12/2000,2040752,30-34,110,530111,5000174958171,1,122,169
400,1/20/2001,1831702,40-44,221,130102,4710105002019,3,42,42
401,2/3/2001,2077475,30-34,221,110401,4710088410610,1,19,26
402,2/9/2001,1978315,55-59,Others,530101,4710032500701,1,45,56
403,1/8/2001,1879285,25-29,115,570307,4716114068510,1,36,55
404,2/14/2001,1408904,45-49,221,712901,8888021100624,1,114,150
405,11/23/2000,1824438,40-44,115,120101,4711684600559,1,121,150
406,1/30/2001,1753257,35-39,115,110407,4710943101318,1,38,43
407,1/28/2001,1990867,30-34,115,110401,4710088410610,1,19,26
408,1/18/2001,2036397,30-34,221,130316,4711437000865,1,80,95
409,11/25/2000,2160795,30-34,114,530103,4710036028034,1,46,59
410,1/24/2001,1497410,<25,221,110406,4711123600065,1,54,71
